Freq.	V(vout)
1.00000000000000e+001	(1.39622007101691e+001dB,-3.59537948654945e+000°)
2.00000000000000e+001	(1.39112480484240e+001dB,-7.16350437061201e+000°)
3.00000000000000e+001	(1.38275809382894e+001dB,-1.06783519209088e+001°)
4.00000000000000e+001	(1.37129834063542e+001dB,-1.41162271877290e+001°)
5.00000000000000e+001	(1.35697741268090e+001dB,-1.74566141714323e+001°)
6.00000000000000e+001	(1.34006585898887e+001dB,-2.06827194051387e+001°)
7.00000000000000e+001	(1.32085751781521e+001dB,-2.37816966293014e+001°)
8.00000000000000e+001	(1.29965508219471e+001dB,-2.67445856561416e+001°)
9.00000000000000e+001	(1.27675773925135e+001dB,-2.95660277437009e+001°)
1.00000000000000e+002	(1.25245148243169e+001dB,-3.22438317080553e+001°)
1.10000000000000e+002	(1.22700223339122e+001dB,-3.47784623223035e+001°)
1.20000000000000e+002	(1.20065156969186e+001dB,-3.71725104563673e+001°)
1.30000000000000e+002	(1.17361465264294e+001dB,-3.94301882529146e+001°)
1.40000000000000e+002	(1.14607986865533e+001dB,-4.15568765359975e+001°)
1.50000000000000e+002	(1.11820970354193e+001dB,-4.35587380575731e+001°)
1.60000000000000e+002	(1.09014242696090e+001dB,-4.54424000710869e+001°)
1.70000000000000e+002	(1.06199424483742e+001dB,-4.72147030415187e+001°)
1.80000000000000e+002	(1.03386166137744e+001dB,-4.88825084883310e+001°)
1.90000000000000e+002	(1.00582386784608e+001dB,-5.04525572681509e+001°)
2.00000000000000e+002	(9.77945037574863e+000dB,-5.19313693319922e+001°)
2.10000000000000e+002	(9.50276454697454e+000dB,-5.33251765654880e+001°)
2.20000000000000e+002	(9.22858439138873e+000dB,-5.46398813239122e+001°)
2.30000000000000e+002	(8.95722054606347e+000dB,-5.58810344303352e+001°)
2.40000000000000e+002	(8.68890602151898e+000dB,-5.70538275476802e+001°)
2.50000000000000e+002	(8.42380911490160e+000dB,-5.81630958738060e+001°)
2.60000000000000e+002	(8.16204447478992e+000dB,-5.92133280039661e+001°)
2.70000000000000e+002	(7.90368251421883e+000dB,-6.02086805489175e+001°)
2.80000000000000e+002	(7.64875737182781e+000dB,-6.11529956984683e+001°)
2.90000000000000e+002	(7.39727361267743e+000dB,-6.20498203963214e+001°)
3.00000000000000e+002	(7.14921184542778e+000dB,-6.29024261623023e+001°)
3.10000000000000e+002	(6.90453341468800e+000dB,-6.37138288816920e+001°)
3.20000000000000e+002	(6.66318430863703e+000dB,-6.44868080957040e+001°)
3.30000000000000e+002	(6.42509840382328e+000dB,-6.52239254870000e+001°)
3.40000000000000e+002	(6.19020015212950e+000dB,-6.59275423717584e+001°)
3.50000000000000e+002	(5.95840679960653e+000dB,-6.65998360951025e+001°)
3.60000000000000e+002	(5.72963021335817e+000dB,-6.72428152874847e+001°)
3.70000000000000e+002	(5.50377838087480e+000dB,-6.78583339820336e+001°)
3.80000000000000e+002	(5.28075663605454e+000dB,-6.84481046216239e+001°)
