time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	0.000000e+000
3.194647932298101e-011	4.232894e-005	1.064883e-002
6.389295864596201e-011	1.669322e-004	2.129765e-002
9.583943796894301e-011	3.738099e-004	3.194648e-002
1.277859172919240e-010	6.629619e-004	4.259531e-002
1.597323966149050e-010	1.034388e-003	5.324413e-002
1.916788759378860e-010	1.488089e-003	6.389296e-002
2.236253552608670e-010	2.024064e-003	7.454178e-002
4.440078087829077e-010	7.663222e-003	1.480026e-001
8.353044645674365e-010	2.501866e-002	2.784348e-001
1.400324779131246e-009	6.514396e-002	4.667749e-001
2.216365634299521e-009	1.507798e-001	7.387885e-001
3.306626531688290e-009	3.081265e-001	1.102209e+000
4.781549763354772e-009	5.832492e-001	1.593850e+000
6.707787479839292e-009	1.022388e+000	2.235929e+000
9.275188434534667e-009	1.697202e+000	3.091729e+000
1.159267093610382e-008	2.369153e+000	3.864224e+000
1.500000000000000e-008	3.411703e+000	5.000000e+000
1.534073290638962e-008	3.501372e+000	4.886422e+000
1.602219871916885e-008	3.644143e+000	4.659267e+000
1.738513034472733e-008	3.785554e+000	4.204957e+000
1.996233149364350e-008	3.736522e+000	3.345890e+000
2.248612234982658e-008	3.401255e+000	2.504626e+000
2.567489845854351e-008	2.721935e+000	1.441700e+000
2.689826627299572e-008	2.410598e+000	1.033911e+000
2.755326437109557e-008	2.228274e+000	8.155785e-001
2.869000380380031e-008	1.899662e+000	4.366654e-001
3.000000000000000e-008	1.512468e+000	0.000000e+000
3.039299885885991e-008	1.408050e+000	1.309996e-001
3.091699733733979e-008	1.299915e+000	3.056658e-001
3.196499429429954e-008	1.166194e+000	6.549981e-001
3.347910360513399e-008	1.115987e+000	1.159701e+000
3.523875786774864e-008	1.224639e+000	1.746253e+000
3.711534674563232e-008	1.495570e+000	2.371782e+000
3.942321304780186e-008	1.979305e+000	3.141071e+000
4.226006251665547e-008	2.706748e+000	4.086688e+000
4.500000000000006e-008	3.483905e+000	5.000000e+000
4.527399374833452e-008	3.555061e+000	4.908669e+000
4.582198124500344e-008	3.673298e+000	4.726006e+000
4.691795623834127e-008	3.809580e+000	4.360681e+000
4.910990622501694e-008	3.825145e+000	3.630031e+000
5.177087737819235e-008	3.537313e+000	2.743041e+000
5.474352519874258e-008	2.950881e+000	1.752158e+000
5.681044956249303e-008	2.424924e+000	1.063183e+000
6.000000000000006e-008	1.518550e+000	0.000000e+000
6.031895504375077e-008	1.437682e+000	1.063183e-001
6.095686513125217e-008	1.307716e+000	3.189550e-001
6.223268530625499e-008	1.154733e+000	7.442284e-001
6.370955685474094e-008	1.124496e+000	1.236519e+000
6.553801877207133e-008	1.261977e+000	1.846006e+000
6.739460870486787e-008	1.548823e+000	2.464869e+000
6.984243868581208e-008	2.076194e+000	3.280813e+000
7.211744910343724e-008	2.664859e+000	4.039150e+000
7.500000000000012e-008	3.484881e+000	5.000000e+000
7.528825508965640e-008	3.559079e+000	4.903915e+000
7.586476526896898e-008	3.681070e+000	4.711745e+000
7.701778562759413e-008	3.815963e+000	4.327405e+000
7.932382634484443e-008	3.813426e+000	3.558725e+000
8.194069276812395e-008	3.510771e+000	2.686436e+000
8.499049903593698e-008	2.893810e+000	1.669834e+000
8.684124568499681e-008	2.419157e+000	1.052918e+000
9.000000000000012e-008	1.518549e+000	0.000000e+000
9.031587543150044e-008	1.438321e+000	1.052918e-001
9.094762629450111e-008	1.309080e+000	3.158754e-001
9.221112802050244e-008	1.156044e+000	7.370427e-001
9.368488196727767e-008	1.123880e+000	1.228294e+000
9.551248987147295e-008	1.258946e+000	1.837497e+000
9.736476855054222e-008	1.543246e+000	2.454923e+000
9.980553543705047e-008	2.067733e+000	3.268512e+000
1.021284066707399e-007	2.668199e+000	4.042802e+000
1.050000000000002e-007	3.484853e+000	5.000000e+000
1.052871593329262e-007	3.558817e+000	4.904280e+000
1.058614779987783e-007	3.680521e+000	4.712841e+000
1.070101153304824e-007	3.815537e+000	4.329962e+000
1.093073899938906e-007	3.814429e+000	3.564203e+000
1.119275625677342e-007	3.512867e+000	2.690813e+000
1.149715003840637e-007	2.898240e+000	1.676167e+000
1.168389792490104e-007	2.419577e+000	1.053674e+000
1.200000000000002e-007	1.518548e+000	0.000000e+000
1.203161020750992e-007	1.438272e+000	1.053674e-001
1.209483062252971e-007	1.308978e+000	3.161021e-001
1.222127145256930e-007	1.155946e+000	7.375715e-001
1.236866969666339e-007	1.123923e+000	1.228899e+000
1.255143676505551e-007	1.259168e+000	1.838123e+000
1.273669623911372e-007	1.543655e+000	2.455654e+000
1.298082487134643e-007	2.068354e+000	3.269416e+000
1.321276021195552e-007	2.667953e+000	4.042534e+000
1.350000000000002e-007	3.484855e+000	5.000000e+000
1.352872397880448e-007	3.558836e+000	4.904253e+000
1.358617193641338e-007	3.680562e+000	4.712760e+000
1.370106785163118e-007	3.815568e+000	4.329774e+000
1.393085968206678e-007	3.814356e+000	3.563801e+000
1.419285260922710e-007	3.512714e+000	2.690491e+000
1.449728950759002e-007	2.897914e+000	1.675702e+000
1.468391463090702e-007	2.419546e+000	1.053618e+000
1.500000000000002e-007	1.518548e+000	0.000000e+000
1.503160853690932e-007	1.438276e+000	1.053618e-001
1.509482561072793e-007	1.308986e+000	3.160854e-001
1.522125975836513e-007	1.155953e+000	7.375326e-001
1.536865631746942e-007	1.123920e+000	1.228854e+000
1.555142292300474e-007	1.259151e+000	1.838076e+000
1.573668006667316e-007	1.543625e+000	2.455600e+000
1.598080487006213e-007	2.068308e+000	3.269350e+000
1.621276614320013e-007	2.667972e+000	4.042554e+000
1.650000000000003e-007	3.484855e+000	5.000000e+000
1.652872338568002e-007	3.558835e+000	4.904255e+000
1.658617015704000e-007	3.680559e+000	4.712766e+000
1.670106369975996e-007	3.815566e+000	4.329788e+000
1.693085078519987e-007	3.814361e+000	3.563831e+000
1.719284550568761e-007	3.512725e+000	2.690515e+000
1.749727922557289e-007	2.897938e+000	1.675736e+000
1.768391339970102e-007	2.419549e+000	1.053622e+000
1.800000000000003e-007	1.518548e+000	0.000000e+000
1.803160866002993e-007	1.438275e+000	1.053622e-001
1.809482598008973e-007	1.308985e+000	3.160866e-001
1.822126062020933e-007	1.155952e+000	7.375354e-001
1.836865730349008e-007	1.123920e+000	1.228858e+000
1.855142394313648e-007	1.259153e+000	1.838080e+000
1.873668125854714e-007	1.543627e+000	2.455604e+000
1.898080634411581e-007	2.068311e+000	3.269355e+000
1.921276570608118e-007	2.667970e+000	4.042552e+000
1.950000000000004e-007	3.484855e+000	5.000000e+000
1.952872342939192e-007	3.558835e+000	4.904255e+000
1.958617028817569e-007	3.680559e+000	4.712766e+000
1.970106400574323e-007	3.815566e+000	4.329787e+000
1.993085144087832e-007	3.814361e+000	3.563828e+000
2.019284602920015e-007	3.512724e+000	2.690513e+000
2.049727998333258e-007	2.897937e+000	1.675733e+000
2.068391349044017e-007	2.419548e+000	1.053622e+000
2.100000000000004e-007	1.518548e+000	0.000000e+000
2.103160865095602e-007	1.438275e+000	1.053622e-001
2.109482595286799e-007	1.308985e+000	3.160865e-001
2.122126055669194e-007	1.155952e+000	7.375352e-001
2.136865723082093e-007	1.123920e+000	1.228857e+000
2.155142386795335e-007	1.259153e+000	1.838080e+000
2.173668117070669e-007	1.543627e+000	2.455604e+000
2.198080623547889e-007	2.068311e+000	3.269354e+000
2.221276573829662e-007	2.667970e+000	4.042552e+000
2.250000000000004e-007	3.484855e+000	5.000000e+000
2.252872342617038e-007	3.558835e+000	4.904255e+000
2.258617027851107e-007	3.680559e+000	4.712766e+000
2.270106398319244e-007	3.815566e+000	4.329787e+000
2.293085139255517e-007	3.814361e+000	3.563829e+000
2.319284599061756e-007	3.512724e+000	2.690513e+000
2.349727992748610e-007	2.897937e+000	1.675734e+000
2.368391348375277e-007	2.419548e+000	1.053622e+000
2.400000000000004e-007	1.518548e+000	0.000000e+000
2.403160865162477e-007	1.438275e+000	1.053622e-001
2.409482595487422e-007	1.308985e+000	3.160865e-001
2.422126056137313e-007	1.155952e+000	7.375352e-001
2.436865723617660e-007	1.123920e+000	1.228857e+000
2.455142387349431e-007	1.259153e+000	1.838080e+000
2.473668117718048e-007	1.543627e+000	2.455604e+000
2.498080624348536e-007	2.068311e+000	3.269354e+000
2.521276573592235e-007	2.667970e+000	4.042552e+000
2.550000000000005e-007	3.484855e+000	5.000000e+000
2.552872342640782e-007	3.558835e+000	4.904255e+000
2.558617027922336e-007	3.680559e+000	4.712766e+000
2.570106398485443e-007	3.815566e+000	4.329787e+000
2.593085139611658e-007	3.814361e+000	3.563829e+000
2.619284599346110e-007	3.512724e+000	2.690513e+000
2.649727993160199e-007	2.897937e+000	1.675734e+000
2.668391348424564e-007	2.419548e+000	1.053622e+000
2.700000000000004e-007	1.518548e+000	7.105427e-015
2.703160865157549e-007	1.438275e+000	1.053622e-001
2.709482595472637e-007	1.308985e+000	3.160865e-001
2.722126056102813e-007	1.155952e+000	7.375352e-001
2.736865723578188e-007	1.123920e+000	1.228857e+000
2.755142387308594e-007	1.259153e+000	1.838080e+000
