time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	0.000000e+000
3.933235699926725e-011	1.229587e-004	2.458273e-002
7.866471399853449e-011	4.781532e-004	4.916545e-002
1.179970709978017e-010	1.065584e-003	7.374817e-002
1.573294279970690e-010	1.885250e-003	9.833090e-002
1.966617849963362e-010	2.937152e-003	1.229136e-001
2.359941419956035e-010	4.221290e-003	1.474963e-001
2.753264989948707e-010	5.737664e-003	1.720791e-001
5.487209450566577e-010	2.138697e-002	3.429506e-001
9.837927716640708e-010	6.357200e-002	6.148705e-001
1.625659043283295e-009	1.606996e-001	1.016037e+000
2.513213741497786e-009	3.545966e-001	1.570759e+000
3.718017393577122e-009	7.095031e-001	2.323761e+000
5.312381992492494e-009	1.281385e+000	3.320239e+000
5.890535969824703e-009	1.519190e+000	3.681585e+000
6.843692045335583e-009	1.951792e+000	4.277308e+000
8.000000000000001e-009	2.501912e+000	5.000000e+000
8.346892386399327e-009	2.655169e+000	4.783192e+000
8.809415568265093e-009	2.815904e+000	4.494115e+000
9.734461931996626e-009	3.004225e+000	3.915961e+000
1.158455465945969e-008	3.051868e+000	2.759653e+000
1.350649870271027e-008	2.822924e+000	1.558438e+000
1.371134140253329e-008	2.776615e+000	1.430412e+000
1.412102680217934e-008	2.656625e+000	1.174358e+000
1.494039760147142e-008	2.385947e+000	6.622515e-001
1.600000000000000e-008	2.001813e+000	0.000000e+000
1.631788071955857e-008	1.889962e+000	1.986755e-001
1.674172167897001e-008	1.774593e+000	4.635760e-001
1.758940359779287e-008	1.642607e+000	9.933773e-001
1.906459213748664e-008	1.627078e+000	1.915370e+000
2.065681887312445e-008	1.843703e+000	2.910512e+000
2.211765999083003e-008	2.236475e+000	3.823538e+000
2.400000000000004e-008	2.897950e+000	5.000000e+000
2.418823400091704e-008	2.967653e+000	4.882354e+000
2.456470200275104e-008	3.087380e+000	4.647061e+000
2.531763800641904e-008	3.241042e+000	4.176476e+000
2.682351001375505e-008	3.299624e+000	3.235306e+000
2.902019093531039e-008	3.047792e+000	1.862381e+000
2.987317399676948e-008	2.848920e+000	1.329266e+000
3.029403387708183e-008	2.716073e+000	1.066229e+000
3.113575363770653e-008	2.414208e+000	5.401540e-001
3.200000000000004e-008	2.080714e+000	0.000000e+000
3.225927390868809e-008	1.983316e+000	1.620462e-001
3.260497245360548e-008	1.876792e+000	3.781078e-001
3.329636954344028e-008	1.737841e+000	8.102310e-001
3.467916372310988e-008	1.658136e+000	1.674477e+000
3.630172092070890e-008	1.819408e+000	2.688576e+000
3.808479347670870e-008	2.259615e+000	3.802996e+000
4.000000000000007e-008	2.912001e+000	5.000000e+000
4.019152065232920e-008	2.982249e+000	4.880300e+000
4.057456195698747e-008	3.102470e+000	4.640899e+000
4.134064456630402e-008	3.254681e+000	4.162097e+000
4.287280978493711e-008	3.305725e+000	3.204494e+000
4.506080259809108e-008	3.046257e+000	1.836998e+000
4.585321061253224e-008	2.857920e+000	1.341743e+000
4.641518397111773e-008	2.680688e+000	9.905100e-001
4.707826137657737e-008	2.446838e+000	5.760866e-001
4.800000000000007e-008	2.082887e+000	0.000000e+000
4.836212570514836e-008	1.949662e+000	2.263286e-001
4.877598365388926e-008	1.833939e+000	4.849898e-001
4.960369955137105e-008	1.703196e+000	1.002312e+000
5.125913134633465e-008	1.686748e+000	2.036957e+000
5.276844189610068e-008	1.888636e+000	2.980276e+000
5.397681895747296e-008	2.211641e+000	3.735512e+000
5.600000000000010e-008	2.913261e+000	5.000000e+000
5.620231810425282e-008	2.986869e+000	4.873551e+000
5.660695431275824e-008	3.111619e+000	4.620654e+000
5.741622672976910e-008	3.263930e+000	4.114858e+000
5.903477156379081e-008	3.298249e+000	3.103268e+000
6.117863399099485e-008	3.026247e+000	1.763354e+000
6.179635942560834e-008	2.873141e+000	1.377275e+000
6.276454913077312e-008	2.547668e+000	7.721568e-001
6.400000000000010e-008	2.084555e+000	1.776357e-015
6.437063526076819e-008	1.951176e+000	2.316470e-001
6.486481560845898e-008	1.819038e+000	5.405098e-001
6.585317630384056e-008	1.677959e+000	1.158235e+000
6.731114437609996e-008	1.689360e+000	2.069465e+000
6.897105196058506e-008	1.937771e+000	3.106907e+000
7.011208167935109e-008	2.250396e+000	3.820051e+000
7.200000000000014e-008	2.915062e+000	5.000000e+000
7.218879183206505e-008	2.984330e+000	4.882005e+000
7.256637549619487e-008	3.103142e+000	4.646015e+000
7.332154282445448e-008	3.254802e+000	4.174036e+000
7.483187748097372e-008	3.309094e+000	3.230077e+000
7.703286784535118e-008	3.051977e+000	1.854458e+000
7.786716815964785e-008	2.855631e+000	1.333020e+000
7.833139937140682e-008	2.708655e+000	1.042875e+000
7.907153757648222e-008	2.442880e+000	5.802890e-001
8.000000000000013e-008	2.084163e+000	1.776357e-015
8.027853872705551e-008	1.980151e+000	1.740867e-001
8.064992369646269e-008	1.868218e+000	4.062023e-001
8.139269363527703e-008	1.728542e+000	8.704335e-001
8.287823351290572e-008	1.665675e+000	1.798896e+000
8.445245260093064e-008	1.847785e+000	2.782783e+000
8.631951803322258e-008	2.330885e+000	3.949699e+000
8.800000000000018e-008	2.913494e+000	5.000000e+000
8.816804819667794e-008	2.976088e+000	4.894970e+000
8.850414459003347e-008	3.085440e+000	4.684910e+000
8.917633737674450e-008	3.234303e+000	4.264789e+000
