time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	0.000000e+000
7.443150171398559e-011	3.462082e-005	7.443150e-003
1.488630034279712e-010	1.358655e-004	1.488630e-002
2.232945051419568e-010	3.037339e-004	2.232945e-002
2.977260068559424e-010	5.382262e-004	2.977260e-002
3.721575085699279e-010	8.393423e-004	3.721575e-002
4.465890102839136e-010	1.207082e-003	4.465890e-002
5.210205119978990e-010	1.641446e-003	5.210205e-002
1.034045026043748e-009	6.118942e-003	1.034045e-001
1.880034664116231e-009	1.869535e-002	1.880035e-001
3.117362991939901e-009	4.760268e-002	3.117363e-001
4.852467483004533e-009	1.065100e-001	4.852467e-001
7.193407010172620e-009	2.142685e-001	7.193407e-001
1.031393205326713e-008	3.975569e-001	1.031393e+000
1.442330237710742e-008	6.892482e-001	1.442330e+000
1.986954812494821e-008	1.134162e+000	1.986955e+000
2.717006965861112e-008	1.791259e+000	2.717007e+000
3.726598082232902e-008	2.755206e+000	3.726598e+000
5.000000000000000e-008	4.004547e+000	5.000000e+000
5.127340191776710e-008	4.094119e+000	4.872660e+000
5.382020575330129e-008	4.207219e+000	4.617980e+000
5.891381342436969e-008	4.229972e+000	4.108619e+000
6.497909925598646e-008	4.015276e+000	3.502090e+000
7.248450662429687e-008	3.520107e+000	2.751549e+000
8.043683799493013e-008	2.852292e+000	1.956316e+000
9.050501961430062e-008	1.912174e+000	9.494981e-001
1.000000000000000e-007	9.899774e-001	0.000000e+000
1.009494980385699e-007	9.173521e-001	9.494980e-002
1.028484941157098e-007	8.098822e-001	2.848494e-001
1.062342047318885e-007	7.217365e-001	6.234205e-001
1.095679016251924e-007	7.431200e-001	9.567901e-001
1.133116247934505e-007	8.737629e-001	1.331162e+000
1.174716319125141e-007	1.108544e+000	1.747163e+000
1.229076168485797e-007	1.505148e+000	2.290762e+000
1.296636554347466e-007	2.079046e+000	2.966366e+000
1.389630901926525e-007	2.942673e+000	3.896309e+000
1.500000000000002e-007	4.010228e+000	5.000000e+000
1.511036909807350e-007	4.091086e+000	4.889631e+000
1.533110729422045e-007	4.200936e+000	4.668893e+000
1.577258368651436e-007	4.250515e+000	4.227417e+000
1.637879474250379e-007	4.074720e+000	3.621205e+000
1.709717213051527e-007	3.634878e+000	2.902828e+000
1.789274210944633e-007	2.986499e+000	2.107258e+000
1.886793626373583e-007	2.097512e+000	1.132064e+000
1.902965965463072e-007	1.940489e+000	9.703404e-001
1.919138304552560e-007	1.783021e+000	8.086170e-001
1.935310643642049e-007	1.625106e+000	6.468936e-001
1.951482982731537e-007	1.466746e+000	4.851702e-001
1.967655321821025e-007	1.307941e+000	3.234468e-001
1.983827660910514e-007	1.148690e+000	1.617234e-001
2.000000000000002e-007	9.889932e-001	0.000000e+000
2.004168295791584e-007	9.521482e-001	4.168296e-002
2.012504887374747e-007	8.875223e-001	1.250489e-001
2.029178070541073e-007	7.946684e-001	2.917807e-001
2.057248284446552e-007	7.208940e-001	5.724828e-001
2.093405616435203e-007	7.367111e-001	9.340562e-001
2.128060389211541e-007	8.489711e-001	1.280604e+000
2.171907212966866e-007	1.089614e+000	1.719072e+000
2.222210499969289e-007	1.449969e+000	2.222105e+000
2.291282194957730e-007	2.031230e+000	2.912822e+000
2.378379097341883e-007	2.835641e+000	3.783791e+000
2.500000000000004e-007	4.009782e+000	5.000000e+000
2.512162090265816e-007	4.096167e+000	4.878379e+000
2.536486270797440e-007	4.207891e+000	4.635137e+000
2.585134631860689e-007	4.239490e+000	4.148654e+000
2.645852229037176e-007	4.036395e+000	3.541478e+000
2.719866682884639e-007	3.558824e+000	2.801333e+000
2.799463823437159e-007	2.896330e+000	2.005362e+000
2.898312618405329e-007	1.976617e+000	1.016874e+000
3.000000000000004e-007	9.901317e-001	0.000000e+000
3.010168738159472e-007	9.137787e-001	1.016874e-001
3.030506214478407e-007	8.027546e-001	3.050621e-001
3.065330454891586e-007	7.211133e-001	6.533046e-001
3.099309537918494e-007	7.520699e-001	9.930954e-001
3.136917184659327e-007	8.920283e-001	1.369172e+000
3.179469391077185e-007	1.139961e+000	1.794694e+000
3.234856415003518e-007	1.551512e+000	2.348564e+000
3.304476536057182e-007	2.149491e+000	3.044765e+000
3.400039364753551e-007	3.041573e+000	4.000394e+000
3.500000000000006e-007	4.010524e+000	5.000000e+000
3.509996063524651e-007	4.085884e+000	4.900039e+000
3.529988190573942e-007	4.192787e+000	4.700118e+000
3.569972444672524e-007	4.255963e+000	4.300275e+000
3.630822782542597e-007	4.105962e+000	3.691772e+000
3.700394032213599e-007	3.702614e+000	2.996060e+000
3.780214389538847e-007	3.065655e+000	2.197856e+000
3.871762851729188e-007	2.239169e+000	1.282372e+000
3.919111912431833e-007	1.783227e+000	8.088809e-001
4.000000000000006e-007	9.888149e-001	0.000000e+000
4.010653603978794e-007	8.997826e-001	1.065360e-001
4.024858409283844e-007	8.145725e-001	2.485841e-001
4.052414873091377e-007	7.285935e-001	5.241487e-001
4.088347011637576e-007	7.272633e-001	8.834701e-001
4.122498785834438e-007	8.250659e-001	1.224988e+000
4.165055895839692e-007	1.046367e+000	1.650559e+000
4.213706300829423e-007	1.384210e+000	2.137063e+000
