time	V(n001)	V(n003)	V(n003)-V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-012	5.000000e+000	3.368667e-013	-4.999999e+000
2.515619689751284e-008	4.999372e+000	2.006269e-004	-4.986614e+000
5.031139379502568e-008	4.998747e+000	7.904524e-004	-4.972892e+000
7.546659069253852e-008	4.998124e+000	1.769476e-003	-4.958833e+000
1.006217875900514e-007	4.997503e+000	3.137699e-003	-4.944437e+000
1.257769844875642e-007	4.996886e+000	4.895120e-003	-4.929705e+000
1.509321813850771e-007	4.996270e+000	7.041739e-003	-4.914635e+000
1.760873782825898e-007	4.995657e+000	9.577557e-003	-4.899228e+000
3.521737985474538e-007	4.991449e+000	3.780863e-002	-4.782615e+000
7.043466390771817e-007	4.983449e+000	1.414356e-001	-4.510985e+000
1.261987914044988e-006	4.971973e+000	4.127591e-001	-3.998676e+000
2.009384886529018e-006	4.959192e+000	9.515481e-001	-3.191483e+000
2.947710993184306e-006	4.947822e+000	1.844624e+000	-2.059633e+000
4.050514434051669e-006	4.941261e+000	3.077225e+000	-6.892509e-001
5.222389434051669e-006	4.941998e+000	4.446365e+000	6.644220e-001
6.394264434051668e-006	4.949763e+000	5.714800e+000	1.769778e+000
7.566139434051668e-006	4.962841e+000	6.738975e+000	2.519319e+000
8.738014434051668e-006	4.978967e+000	7.442110e+000	2.883808e+000
9.661373708378538e-006	4.992479e+000	7.745945e+000	2.903895e+000
1.023912546431654e-005	5.000681e+000	7.791456e+000	2.777151e+000
1.103694030553976e-005	5.010967e+000	7.684299e+000	2.453998e+000
1.188069990535136e-005	5.019962e+000	7.408227e+000	1.989026e+000
1.305257490535136e-005	5.028757e+000	6.819578e+000	1.215682e+000
1.422444990535136e-005	5.033124e+000	6.094407e+000	3.987975e-001
1.539632490535136e-005	5.032828e+000	5.321524e+000	-3.678732e-001
1.656819990535135e-005	5.028477e+000	4.603105e+000	-9.949059e-001
1.774007490535135e-005	5.021108e+000	4.022038e+000	-1.421223e+000
1.891194990535135e-005	5.012001e+000	3.622267e+000	-1.629747e+000
1.983935171785338e-005	5.004327e+000	3.448195e+000	-1.642681e+000
2.042159601523045e-005	4.999651e+000	3.421614e+000	-1.571059e+000
2.122328569006424e-005	4.993803e+000	3.481990e+000	-1.387865e+000
2.206454577075631e-005	4.988727e+000	3.637355e+000	-1.125916e+000
2.323642077075631e-005	4.983748e+000	3.970019e+000	-6.886873e-001
2.440829577075631e-005	4.981271e+000	4.379954e+000	-2.267365e-001
2.558017077075631e-005	4.981431e+000	4.817033e+000	2.069693e-001
2.675204577075631e-005	4.983887e+000	5.223454e+000	5.618234e-001
2.792392077075631e-005	4.988051e+000	5.552306e+000	8.032398e-001
