Freq.	mag(V(n002)/V(n001))
1.00000000000000e+001	5.02648474609232e-003,0.00000000000000e+000
1.10909090909091e+002	5.56625585183393e-002,0.00000000000000e+000
2.11818181818182e+002	1.05873025077779e-001,0.00000000000000e+000
3.12727272727273e+002	1.55287015730607e-001,0.00000000000000e+000
4.13636363636364e+002	2.03562933590041e-001,0.00000000000000e+000
5.14545454545455e+002	2.50399215471561e-001,0.00000000000000e+000
6.15454545454545e+002	2.95541957815314e-001,0.00000000000000e+000
7.16363636363636e+002	3.38789130776790e-001,0.00000000000000e+000
8.17272727272727e+002	3.79991505495990e-001,0.00000000000000e+000
9.18181818181818e+002	4.19050736608218e-001,0.00000000000000e+000
1.01909090909091e+003	4.55915239820205e-001,0.00000000000000e+000
1.12000000000000e+003	4.90574578877783e-001,0.00000000000000e+000
1.22090909090909e+003	5.23053047604680e-001,0.00000000000000e+000
1.32181818181818e+003	5.53403033644300e-001,0.00000000000000e+000
1.42272727272727e+003	5.81698615663349e-001,0.00000000000000e+000
1.52363636363636e+003	6.08029704048994e-001,0.00000000000000e+000
1.62454545454545e+003	6.32496906517795e-001,0.00000000000000e+000
1.72545454545455e+003	6.55207195370836e-001,0.00000000000000e+000
1.82636363636364e+003	6.76270375801121e-001,0.00000000000000e+000
1.92727272727273e+003	6.95796303159070e-001,0.00000000000000e+000
2.02818181818182e+003	7.13892767213375e-001,0.00000000000000e+000
2.12909090909091e+003	7.30663948078748e-001,0.00000000000000e+000
2.23000000000000e+003	7.46209346666577e-001,0.00000000000000e+000
2.33090909090909e+003	7.60623098049773e-001,0.00000000000000e+000
2.43181818181818e+003	7.73993585771537e-001,0.00000000000000e+000
2.53272727272727e+003	7.86403286546212e-001,0.00000000000000e+000
2.63363636363636e+003	7.97928786459168e-001,0.00000000000000e+000
2.73454545454546e+003	8.08640920740086e-001,0.00000000000000e+000
2.83545454545455e+003	8.18604998966816e-001,0.00000000000000e+000
2.93636363636364e+003	8.27881085958140e-001,0.00000000000000e+000
3.03727272727273e+003	8.36524315622778e-001,0.00000000000000e+000
3.13818181818182e+003	8.44585220745344e-001,0.00000000000000e+000
3.23909090909091e+003	8.52110066257250e-001,0.00000000000000e+000
3.34000000000000e+003	8.59141177129626e-001,0.00000000000000e+000
3.44090909090909e+003	8.65717254801414e-001,0.00000000000000e+000
3.54181818181818e+003	8.71873678170401e-001,0.00000000000000e+000
3.64272727272727e+003	8.77642786760420e-001,0.00000000000000e+000
3.74363636363637e+003	8.83054144846472e-001,0.00000000000000e+000
3.84454545454546e+003	8.88134786163664e-001,0.00000000000000e+000
3.94545454545455e+003	8.92909439420851e-001,0.00000000000000e+000
4.04636363636364e+003	8.97400735245588e-001,0.00000000000000e+000
4.14727272727273e+003	9.01629395450877e-001,0.00000000000000e+000
4.24818181818182e+003	9.05614405672943e-001,0.00000000000000e+000
4.34909090909091e+003	9.09373172511588e-001,0.00000000000000e+000
4.45000000000000e+003	9.12921666332050e-001,0.00000000000000e+000
4.55090909090909e+003	9.16274550876432e-001,0.00000000000000e+000
4.65181818181818e+003	9.19445300795968e-001,0.00000000000000e+000
4.75272727272727e+003	9.22446308161691e-001,0.00000000000000e+000
4.85363636363637e+003	9.25288978947511e-001,0.00000000000000e+000
4.95454545454546e+003	9.27983820410777e-001,0.00000000000000e+000
5.05545454545455e+003	9.30540520224922e-001,0.00000000000000e+000
5.15636363636364e+003	9.32968018148869e-001,0.00000000000000e+000
5.25727272727273e+003	9.35274570950344e-001,0.00000000000000e+000
5.35818181818182e+003	9.37467811236020e-001,0.00000000000000e+000
5.45909090909091e+003	9.39554800781137e-001,0.00000000000000e+000
5.56000000000000e+003	9.41542078895275e-001,0.00000000000000e+000
5.66090909090909e+003	9.43435706309292e-001,0.00000000000000e+000
5.76181818181818e+003	9.45241305021148e-001,0.00000000000000e+000
5.86272727272728e+003	9.46964094495158e-001,0.00000000000000e+000
5.96363636363637e+003	9.48608924570004e-001,0.00000000000000e+000
6.06454545454546e+003	9.50180305395333e-001,0.00000000000000e+000
6.16545454545455e+003	9.51682434684658e-001,0.00000000000000e+000
6.26636363636364e+003	9.53119222543359e-001,0.00000000000000e+000
6.36727272727273e+003	9.54494314104536e-001,0.00000000000000e+000
6.46818181818182e+003	9.55811110182014e-001,0.00000000000000e+000
6.56909090909091e+003	9.57072786128814e-001,0.00000000000000e+000
6.67000000000000e+003	9.58282309070440e-001,0.00000000000000e+000
6.77090909090909e+003	9.59442453665474e-001,0.00000000000000e+000
6.87181818181819e+003	9.60555816530686e-001,0.00000000000000e+000
6.97272727272728e+003	9.61624829454292e-001,0.00000000000000e+000
7.07363636363637e+003	9.62651771508752e-001,0.00000000000000e+000
7.17454545454546e+003	9.63638780163514e-001,0.00000000000000e+000
7.27545454545455e+003	9.64587861488331e-001,0.00000000000000e+000
7.37636363636364e+003	9.65500899528883e-001,0.00000000000000e+000
7.47727272727273e+003	9.66379664928594e-001,0.00000000000000e+000
7.57818181818182e+003	9.67225822863373e-001,0.00000000000000e+000
7.67909090909091e+003	9.68040940349645e-001,0.00000000000000e+000
7.78000000000000e+003	9.68826492980299e-001,0.00000000000000e+000
7.88090909090910e+003	9.69583871138033e-001,0.00000000000000e+000
7.98181818181819e+003	9.70314385730914e-001,0.00000000000000e+000
8.08272727272728e+003	9.71019273490815e-001,0.00000000000000e+000
8.18363636363637e+003	9.71699701871634e-001,0.00000000000000e+000
8.28454545454546e+003	9.72356773580793e-001,0.00000000000000e+000
8.38545454545455e+003	9.72991530774473e-001,0.00000000000000e+000
8.48636363636364e+003	9.73604958944291e-001,0.00000000000000e+000
8.58727272727273e+003	9.74197990520619e-001,0.00000000000000e+000
8.68818181818182e+003	9.74771508215512e-001,0.00000000000000e+000
8.78909090909091e+003	9.75326348126167e-001,0.00000000000000e+000
8.89000000000000e+003	9.75863302618015e-001,0.00000000000000e+000
8.99090909090909e+003	9.76383123004850e-001,0.00000000000000e+000
9.09181818181818e+003	9.76886522041936e-001,0.00000000000000e+000
9.19272727272727e+003	9.77374176246621e-001,0.00000000000000e+000
9.29363636363636e+003	9.77846728059773e-001,0.00000000000000e+000
9.39454545454545e+003	9.78304787860232e-001,0.00000000000000e+000
9.49545454545454e+003	9.78748935843410e-001,0.00000000000000e+000
9.59636363636363e+003	9.79179723774300e-001,0.00000000000000e+000
9.69727272727272e+003	9.79597676624253e-001,0.00000000000000e+000
9.79818181818181e+003	9.80003294100152e-001,0.00000000000000e+000
9.89909090909090e+003	9.80397052073875e-001,0.00000000000000e+000
1.00000000000000e+004	9.80779403919342e-001,0.00000000000000e+000
