Freq.	mag(V(n002))/mag(V(n001))
1.00000000000000e+001	9.99987367145754e-001,0.00000000000000e+000
1.10909090909091e+002	9.98449637978397e-001,0.00000000000000e+000
2.11818181818182e+002	9.94379657153584e-001,0.00000000000000e+000
3.12727272727273e+002	9.87869395591078e-001,0.00000000000000e+000
4.13636363636364e+002	9.79061863248802e-001,0.00000000000000e+000
5.14545454545455e+002	9.68142671764460e-001,0.00000000000000e+000
6.15454545454545e+002	9.55329760433899e-001,0.00000000000000e+000
7.16363636363636e+002	9.40862330454093e-001,0.00000000000000e+000
8.17272727272727e+002	9.24989976027249e-001,0.00000000000000e+000
9.18181818181818e+002	9.07962818703558e-001,0.00000000000000e+000
1.01909090909091e+003	8.90023198630061e-001,0.00000000000000e+000
1.12000000000000e+003	8.71399209638662e-001,0.00000000000000e+000
1.22090909090909e+003	8.52300128705526e-001,0.00000000000000e+000
1.32181818181818e+003	8.32913610378223e-001,0.00000000000000e+000
1.42272727272727e+003	8.13404401595752e-001,0.00000000000000e+000
1.52363636363636e+003	7.93914276854934e-001,0.00000000000000e+000
1.62454545454545e+003	7.74562885274927e-001,0.00000000000000e+000
1.72545454545455e+003	7.55449224722802e-001,0.00000000000000e+000
1.82636363636364e+003	7.36653499831373e-001,0.00000000000000e+000
1.92727272727273e+003	7.18239169434647e-001,0.00000000000000e+000
2.02818181818182e+003	7.00255037054664e-001,0.00000000000000e+000
2.12909090909091e+003	6.82737281081073e-001,0.00000000000000e+000
2.23000000000000e+003	6.65711357081611e-001,0.00000000000000e+000
2.33090909090909e+003	6.49193732804904e-001,0.00000000000000e+000
2.43181818181818e+003	6.33193437414285e-001,0.00000000000000e+000
2.53272727272727e+003	6.17713421344652e-001,0.00000000000000e+000
2.63363636363636e+003	6.02751733087346e-001,0.00000000000000e+000
2.73454545454546e+003	5.88302525325726e-001,0.00000000000000e+000
2.83545454545455e+003	5.74356906171189e-001,0.00000000000000e+000
2.93636363636364e+003	5.60903652611365e-001,0.00000000000000e+000
3.03727272727273e+003	5.47929803325063e-001,0.00000000000000e+000
3.13818181818182e+003	5.35421147227618e-001,0.00000000000000e+000
3.23909090909091e+003	5.23362622837230e-001,0.00000000000000e+000
3.34000000000000e+003	5.11738642043299e-001,0.00000000000000e+000
3.44090909090909e+003	5.00533350276585e-001,0.00000000000000e+000
3.54181818181818e+003	4.89730833533704e-001,0.00000000000000e+000
3.64272727272727e+003	4.79315281257967e-001,0.00000000000000e+000
3.74363636363637e+003	4.69271112758356e-001,0.00000000000000e+000
3.84454545454546e+003	4.59583073672238e-001,0.00000000000000e+000
3.94545454545455e+003	4.50236307946330e-001,0.00000000000000e+000
4.04636363636364e+003	4.41216409917716e-001,0.00000000000000e+000
4.14727272727273e+003	4.32509460311433e-001,0.00000000000000e+000
4.24818181818182e+003	4.24102049320259e-001,0.00000000000000e+000
4.34909090909091e+003	4.15981289382358e-001,0.00000000000000e+000
4.45000000000000e+003	4.08134819810212e-001,0.00000000000000e+000
4.55090909090909e+003	4.00550805037504e-001,0.00000000000000e+000
4.65181818181818e+003	3.93217927928283e-001,0.00000000000000e+000
4.75272727272727e+003	3.86125379324988e-001,0.00000000000000e+000
4.85363636363637e+003	3.79262844790092e-001,0.00000000000000e+000
4.95454545454546e+003	3.72620489312946e-001,0.00000000000000e+000
5.05545454545455e+003	3.66188940602432e-001,0.00000000000000e+000
5.15636363636364e+003	3.59959271461887e-001,0.00000000000000e+000
5.25727272727273e+003	3.53922981640992e-001,0.00000000000000e+000
5.35818181818182e+003	3.48071979476008e-001,0.00000000000000e+000
5.45909090909091e+003	3.42398563561704e-001,0.00000000000000e+000
5.56000000000000e+003	3.36895404642991e-001,0.00000000000000e+000
5.66090909090909e+003	3.31555527869297e-001,0.00000000000000e+000
5.76181818181818e+003	3.26372295518351e-001,0.00000000000000e+000
5.86272727272728e+003	3.21339390266688e-001,0.00000000000000e+000
5.96363636363637e+003	3.16450799060677e-001,0.00000000000000e+000
6.06454545454546e+003	3.11700797623027e-001,0.00000000000000e+000
6.16545454545455e+003	3.07083935614812e-001,0.00000000000000e+000
6.26636363636364e+003	3.02595022461279e-001,0.00000000000000e+000
6.36727272727273e+003	2.98229113840537e-001,0.00000000000000e+000
6.46818181818182e+003	2.93981498827094e-001,0.00000000000000e+000
6.56909090909091e+003	2.89847687676872e-001,0.00000000000000e+000
6.67000000000000e+003	2.85823400236274e-001,0.00000000000000e+000
6.77090909090909e+003	2.81904554954996e-001,0.00000000000000e+000
6.87181818181819e+003	2.78087258480261e-001,0.00000000000000e+000
6.97272727272728e+003	2.74367795808844e-001,0.00000000000000e+000
7.07363636363637e+003	2.70742620972507e-001,0.00000000000000e+000
7.17454545454546e+003	2.67208348232188e-001,0.00000000000000e+000
7.27545454545455e+003	2.63761743756309e-001,0.00000000000000e+000
7.37636363636364e+003	2.60399717758908e-001,0.00000000000000e+000
7.47727272727273e+003	2.57119317073803e-001,0.00000000000000e+000
7.57818181818182e+003	2.53917718141667e-001,0.00000000000000e+000
7.67909090909091e+003	2.50792220387667e-001,0.00000000000000e+000
7.78000000000000e+003	2.47740239968188e-001,0.00000000000000e+000
7.88090909090910e+003	2.44759303866035e-001,0.00000000000000e+000
7.98181818181819e+003	2.41847044314459e-001,0.00000000000000e+000
8.08272727272728e+003	2.39001193531268e-001,0.00000000000000e+000
8.18363636363637e+003	2.36219578745238e-001,0.00000000000000e+000
8.28454545454546e+003	2.33500117497938e-001,0.00000000000000e+000
8.38545454545455e+003	2.30840813205006e-001,0.00000000000000e+000
8.48636363636364e+003	2.28239750961760e-001,0.00000000000000e+000
8.58727272727273e+003	2.25695093578899e-001,0.00000000000000e+000
8.68818181818182e+003	2.23205077834839e-001,0.00000000000000e+000
8.78909090909091e+003	2.20768010932006e-001,0.00000000000000e+000
8.89000000000000e+003	2.18382267145162e-001,0.00000000000000e+000
8.99090909090909e+003	2.16046284650526e-001,0.00000000000000e+000
9.09181818181818e+003	2.13758562525130e-001,0.00000000000000e+000
9.19272727272727e+003	2.11517657906474e-001,0.00000000000000e+000
9.29363636363636e+003	2.09322183303145e-001,0.00000000000000e+000
9.39454545454545e+003	2.07170804047642e-001,0.00000000000000e+000
9.49545454545454e+003	2.05062235883140e-001,0.00000000000000e+000
9.59636363636363e+003	2.02995242676488e-001,0.00000000000000e+000
9.69727272727272e+003	2.00968634250134e-001,0.00000000000000e+000
9.79818181818181e+003	1.98981264326194e-001,0.00000000000000e+000
9.89909090909090e+003	1.97032028576209e-001,0.00000000000000e+000
1.00000000000000e+004	1.95119862770607e-001,0.00000000000000e+000
