Freq.	mag(V(n004)/V(n001))
2.00000000000000e+003	1.27667356057807e-002,0.00000000000000e+000
2.28282828282828e+003	1.46428251868116e-002,0.00000000000000e+000
2.56565656565657e+003	1.65478544819362e-002,0.00000000000000e+000
2.84848484848485e+003	1.84860059997488e-002,0.00000000000000e+000
3.13131313131313e+003	2.04616893626849e-002,0.00000000000000e+000
3.41414141414141e+003	2.24795771188871e-002,0.00000000000000e+000
3.69696969696970e+003	2.45446445430023e-002,0.00000000000000e+000
3.97979797979798e+003	2.66622141686789e-002,0.00000000000000e+000
4.26262626262626e+003	2.88380059262590e-002,0.00000000000000e+000
4.54545454545454e+003	3.10781939197655e-002,0.00000000000000e+000
4.82828282828283e+003	3.33894710749923e-002,0.00000000000000e+000
5.11111111111111e+003	3.57791231345754e-002,0.00000000000000e+000
5.39393939393939e+003	3.82551137782826e-002,0.00000000000000e+000
5.67676767676767e+003	4.08261830228364e-002,0.00000000000000e+000
5.95959595959596e+003	4.35019615254770e-002,0.00000000000000e+000
6.24242424242424e+003	4.62931040054628e-002,0.00000000000000e+000
6.52525252525252e+003	4.92114457424438e-002,0.00000000000000e+000
6.80808080808081e+003	5.22701870560188e-002,0.00000000000000e+000
7.09090909090909e+003	5.54841118781352e-002,0.00000000000000e+000
7.37373737373737e+003	5.88698480817080e-002,0.00000000000000e+000
7.65656565656565e+003	6.24461792366302e-002,0.00000000000000e+000
7.93939393939394e+003	6.62344200807686e-002,0.00000000000000e+000
8.22222222222222e+003	7.02588714286877e-002,0.00000000000000e+000
8.50505050505050e+003	7.45473747866239e-002,0.00000000000000e+000
8.78787878787878e+003	7.91319930079315e-002,0.00000000000000e+000
9.07070707070707e+003	8.40498514881508e-002,0.00000000000000e+000
9.35353535353535e+003	8.93441854911991e-002,0.00000000000000e+000
9.63636363636363e+003	9.50656544141231e-002,0.00000000000000e+000
9.91919191919192e+003	1.01274004883352e-001,0.00000000000000e+000
1.02020202020202e+004	1.08040194106853e-001,0.00000000000000e+000
1.04848484848485e+004	1.15449126727255e-001,0.00000000000000e+000
1.07676767676768e+004	1.23603218326535e-001,0.00000000000000e+000
1.10505050505050e+004	1.32627085553016e-001,0.00000000000000e+000
1.13333333333333e+004	1.42673790152495e-001,0.00000000000000e+000
1.16161616161616e+004	1.53933253005085e-001,0.00000000000000e+000
1.18989898989899e+004	1.66643737221409e-001,0.00000000000000e+000
1.21818181818182e+004	1.81107726794248e-001,0.00000000000000e+000
1.24646464646465e+004	1.97714175282005e-001,0.00000000000000e+000
1.27474747474747e+004	2.16970075755767e-001,0.00000000000000e+000
1.30303030303030e+004	2.39545739064866e-001,0.00000000000000e+000
1.33131313131313e+004	2.66340130962292e-001,0.00000000000000e+000
1.35959595959596e+004	2.98574759130790e-001,0.00000000000000e+000
1.38787878787879e+004	3.37924828269526e-001,0.00000000000000e+000
1.41616161616162e+004	3.86686229647544e-001,0.00000000000000e+000
1.44444444444444e+004	4.47925790718104e-001,0.00000000000000e+000
