Freq.	mag(V(n002)/V(n001))
1.00000000000000e+001	4.44453953384714e-001,0.00000000000000e+000
1.10909090909091e+002	4.45311212403411e-001,0.00000000000000e+000
2.11818181818182e+002	4.47583432993448e-001,0.00000000000000e+000
3.12727272727273e+002	4.51228003966496e-001,0.00000000000000e+000
4.13636363636364e+002	4.56178455500762e-001,0.00000000000000e+000
5.14545454545455e+002	4.62348073997256e-001,0.00000000000000e+000
6.15454545454545e+002	4.69634279580252e-001,0.00000000000000e+000
7.16363636363636e+002	4.77923319307404e-001,0.00000000000000e+000
8.17272727272727e+002	4.87094870544273e-001,0.00000000000000e+000
9.18181818181818e+002	4.97026240000672e-001,0.00000000000000e+000
1.01909090909091e+003	5.07595955456643e-001,0.00000000000000e+000
1.12000000000000e+003	5.18686654270323e-001,0.00000000000000e+000
1.22090909090909e+003	5.30187259590521e-001,0.00000000000000e+000
1.32181818181818e+003	5.41994495610667e-001,0.00000000000000e+000
1.42272727272727e+003	5.54013828186753e-001,0.00000000000000e+000
1.52363636363636e+003	5.66159931631592e-001,0.00000000000000e+000
1.62454545454545e+003	5.78356782647261e-001,0.00000000000000e+000
1.72545454545455e+003	5.90537473834517e-001,0.00000000000000e+000
1.82636363636364e+003	6.02643826428701e-001,0.00000000000000e+000
1.92727272727273e+003	6.14625867868556e-001,0.00000000000000e+000
2.02818181818182e+003	6.26441226325961e-001,0.00000000000000e+000
2.12909090909091e+003	6.38054482347571e-001,0.00000000000000e+000
2.23000000000000e+003	6.49436507638800e-001,0.00000000000000e+000
2.33090909090909e+003	6.60563812767214e-001,0.00000000000000e+000
2.43181818181818e+003	6.71417919009028e-001,0.00000000000000e+000
2.53272727272727e+003	6.81984764468615e-001,0.00000000000000e+000
2.63363636363636e+003	6.92254150713935e-001,0.00000000000000e+000
2.73454545454546e+003	7.02219233256456e-001,0.00000000000000e+000
2.83545454545455e+003	7.11876057059286e-001,0.00000000000000e+000
2.93636363636364e+003	7.21223136713259e-001,0.00000000000000e+000
3.03727272727273e+003	7.30261079840701e-001,0.00000000000000e+000
3.13818181818182e+003	7.38992251561482e-001,0.00000000000000e+000
3.23909090909091e+003	7.47420477399690e-001,0.00000000000000e+000
3.34000000000000e+003	7.55550781754425e-001,0.00000000000000e+000
3.44090909090909e+003	7.63389158952270e-001,0.00000000000000e+000
3.54181818181818e+003	7.70942373901183e-001,0.00000000000000e+000
3.64272727272727e+003	7.78217789444341e-001,0.00000000000000e+000
3.74363636363637e+003	7.85223217643630e-001,0.00000000000000e+000
3.84454545454546e+003	7.91966792387492e-001,0.00000000000000e+000
3.94545454545455e+003	7.98456860902739e-001,0.00000000000000e+000
4.04636363636364e+003	8.04701891944226e-001,0.00000000000000e+000
4.14727272727273e+003	8.10710398632251e-001,0.00000000000000e+000
4.24818181818182e+003	8.16490874099749e-001,0.00000000000000e+000
4.34909090909091e+003	8.22051738295797e-001,0.00000000000000e+000
4.45000000000000e+003	8.27401294466289e-001,0.00000000000000e+000
4.55090909090909e+003	8.32547693995130e-001,0.00000000000000e+000
4.65181818181818e+003	8.37498908439287e-001,0.00000000000000e+000
4.75272727272727e+003	8.42262707728190e-001,0.00000000000000e+000
4.85363636363637e+003	8.46846643622480e-001,0.00000000000000e+000
4.95454545454546e+003	8.51258037639387e-001,0.00000000000000e+000
5.05545454545455e+003	8.55503972752737e-001,0.00000000000000e+000
5.15636363636364e+003	8.59591288265427e-001,0.00000000000000e+000
5.25727272727273e+003	8.63526577332062e-001,0.00000000000000e+000
