Freq.	mag(V(n003))/mag(V(n001))
1.00000000000000e+001	5.55550920303959e-001,0.00000000000000e+000
1.10909090909091e+002	5.55286824918326e-001,0.00000000000000e+000
2.11818181818182e+002	5.54583748790877e-001,0.00000000000000e+000
3.12727272727273e+002	5.53446678546500e-001,0.00000000000000e+000
4.13636363636364e+002	5.51883607966206e-001,0.00000000000000e+000
5.14545454545455e+002	5.49905383517556e-001,0.00000000000000e+000
6.15454545454545e+002	5.47525498842954e-001,0.00000000000000e+000
7.16363636363636e+002	5.44759845694045e-001,0.00000000000000e+000
8.17272727272727e+002	5.41626430066965e-001,0.00000000000000e+000
9.18181818181818e+002	5.38145063067089e-001,0.00000000000000e+000
1.01909090909091e+003	5.34337036302198e-001,0.00000000000000e+000
1.12000000000000e+003	5.30224791396060e-001,0.00000000000000e+000
1.22090909090909e+003	5.25831592588230e-001,0.00000000000000e+000
1.32181818181818e+003	5.21181210421272e-001,0.00000000000000e+000
1.42272727272727e+003	5.16297623307632e-001,0.00000000000000e+000
1.52363636363636e+003	5.11204742412957e-001,0.00000000000000e+000
1.62454545454545e+003	5.05926163883691e-001,0.00000000000000e+000
1.72545454545455e+003	5.00484951066374e-001,0.00000000000000e+000
1.82636363636364e+003	4.94903448080302e-001,0.00000000000000e+000
1.92727272727273e+003	4.89203124963156e-001,0.00000000000000e+000
2.02818181818182e+003	4.83404453641594e-001,0.00000000000000e+000
2.12909090909091e+003	4.77526813200641e-001,0.00000000000000e+000
2.23000000000000e+003	4.71588422337691e-001,0.00000000000000e+000
2.33090909090909e+003	4.65606296479228e-001,0.00000000000000e+000
2.43181818181818e+003	4.59596226793157e-001,0.00000000000000e+000
2.53272727272727e+003	4.53572778224537e-001,0.00000000000000e+000
2.63363636363636e+003	4.47549303692755e-001,0.00000000000000e+000
2.73454545454546e+003	4.41537971688919e-001,0.00000000000000e+000
2.83545454545455e+003	4.35549804679984e-001,0.00000000000000e+000
2.93636363636364e+003	4.29594725939653e-001,0.00000000000000e+000
3.03727272727273e+003	4.23681612667302e-001,0.00000000000000e+000
3.13818181818182e+003	4.17818353509893e-001,0.00000000000000e+000
3.23909090909091e+003	4.12011908856365e-001,0.00000000000000e+000
3.34000000000000e+003	4.06268372520142e-001,0.00000000000000e+000
3.44090909090909e+003	4.00593033656971e-001,0.00000000000000e+000
3.54181818181818e+003	3.94990437977968e-001,0.00000000000000e+000
3.64272727272727e+003	3.89464447509195e-001,0.00000000000000e+000
3.74363636363637e+003	3.84018298318297e-001,0.00000000000000e+000
3.84454545454546e+003	3.78654655775851e-001,0.00000000000000e+000
3.94545454545455e+003	3.73375667044870e-001,0.00000000000000e+000
4.04636363636364e+003	3.68183010597946e-001,0.00000000000000e+000
4.14727272727273e+003	3.63077942649348e-001,0.00000000000000e+000
4.24818181818182e+003	3.58061340460977e-001,0.00000000000000e+000
4.34909090909091e+003	3.53133742538376e-001,0.00000000000000e+000
4.45000000000000e+003	3.48295385777811e-001,0.00000000000000e+000
4.55090909090909e+003	3.43546239659621e-001,0.00000000000000e+000
4.65181818181818e+003	3.38886037608208e-001,0.00000000000000e+000
4.75272727272727e+003	3.34314305656712e-001,0.00000000000000e+000
4.85363636363637e+003	3.29830388565895e-001,0.00000000000000e+000
4.95454545454546e+003	3.25433473553238e-001,0.00000000000000e+000
5.05545454545455e+003	3.21122611790727e-001,0.00000000000000e+000
5.15636363636364e+003	3.16896737829112e-001,0.00000000000000e+000
5.25727272727273e+003	3.12754687103331e-001,0.00000000000000e+000
5.35818181818182e+003	3.08695211668894e-001,0.00000000000000e+000
5.45909090909091e+003	3.04716994312773e-001,0.00000000000000e+000
5.56000000000000e+003	3.00818661175254e-001,0.00000000000000e+000
5.66090909090909e+003	2.96998793011504e-001,0.00000000000000e+000
5.76181818181818e+003	2.93255935213624e-001,0.00000000000000e+000
5.86272727272728e+003	2.89588606705847e-001,0.00000000000000e+000
5.96363636363637e+003	2.85995307817556e-001,0.00000000000000e+000
6.06454545454546e+003	2.82474527230903e-001,0.00000000000000e+000
6.16545454545455e+003	2.79024748092285e-001,0.00000000000000e+000
6.26636363636364e+003	2.75644453369665e-001,0.00000000000000e+000
6.36727272727273e+003	2.72332130530884e-001,0.00000000000000e+000
6.46818181818182e+003	2.69086275611639e-001,0.00000000000000e+000
6.56909090909091e+003	2.65905396735773e-001,0.00000000000000e+000
6.67000000000000e+003	2.62788017144871e-001,0.00000000000000e+000
6.77090909090909e+003	2.59732677788954e-001,0.00000000000000e+000
6.87181818181819e+003	2.56737939525227e-001,0.00000000000000e+000
6.97272727272728e+003	2.53802384967397e-001,0.00000000000000e+000
7.07363636363637e+003	2.50924620024008e-001,0.00000000000000e+000
7.17454545454546e+003	2.48103275160492e-001,0.00000000000000e+000
7.27545454545455e+003	2.45337006416230e-001,0.00000000000000e+000
7.37636363636364e+003	2.42624496204803e-001,0.00000000000000e+000
7.47727272727273e+003	2.39964453922786e-001,0.00000000000000e+000
7.57818181818182e+003	2.37355616389867e-001,0.00000000000000e+000
7.67909090909091e+003	2.34796748140716e-001,0.00000000000000e+000
7.78000000000000e+003	2.32286641586956e-001,0.00000000000000e+000
7.88090909090910e+003	2.29824117065633e-001,0.00000000000000e+000
7.98181818181819e+003	2.27408022788881e-001,0.00000000000000e+000
8.08272727272728e+003	2.25037234707898e-001,0.00000000000000e+000
8.18363636363637e+003	2.22710656302959e-001,0.00000000000000e+000
8.28454545454546e+003	2.20427218309902e-001,0.00000000000000e+000
8.38545454545455e+003	2.18185878392396e-001,0.00000000000000e+000
8.48636363636364e+003	2.15985620768275e-001,0.00000000000000e+000
8.58727272727273e+003	2.13825455797269e-001,0.00000000000000e+000
8.68818181818182e+003	2.11704419536678e-001,0.00000000000000e+000
8.78909090909091e+003	2.09621573270750e-001,0.00000000000000e+000
8.89000000000000e+003	2.07576003018879e-001,0.00000000000000e+000
8.99090909090909e+003	2.05566819027123e-001,0.00000000000000e+000
9.09181818181818e+003	2.03593155247032e-001,0.00000000000000e+000
9.19272727272727e+003	2.01654168805261e-001,0.00000000000000e+000
9.29363636363636e+003	1.99749039467042e-001,0.00000000000000e+000
9.39454545454545e+003	1.97876969096191e-001,0.00000000000000e+000
9.49545454545454e+003	1.96037181113985e-001,0.00000000000000e+000
9.59636363636363e+003	1.94228919958946e-001,0.00000000000000e+000
9.69727272727272e+003	1.92451450549276e-001,0.00000000000000e+000
9.79818181818181e+003	1.90704057749478e-001,0.00000000000000e+000
9.89909090909090e+003	1.88986045842442e-001,0.00000000000000e+000
1.00000000000000e+004	1.87296738008114e-001,0.00000000000000e+000
