Freq.	mag(V(n002))	mag(V(n006))
1.00000000000000e+001	4.59897021500514e-003,0.00000000000000e+000	6.45262598548246e-001,0.00000000000000e+000
3.01010101010101e+001	1.38189629718468e-002,0.00000000000000e+000	6.45244541651859e-001,0.00000000000000e+000
5.02020202020202e+001	2.29661834016946e-002,0.00000000000000e+000	6.45208759961853e-001,0.00000000000000e+000
7.03030303030303e+001	3.19940616949868e-002,0.00000000000000e+000	6.45155990911505e-001,0.00000000000000e+000
9.04040404040404e+001	4.08589478629290e-002,0.00000000000000e+000	6.45087295300332e-001,0.00000000000000e+000
1.10505050505051e+002	4.95210462858814e-002,0.00000000000000e+000	6.45004006938787e-001,0.00000000000000e+000
1.30606060606061e+002	5.79451440384024e-002,0.00000000000000e+000	6.44907672575410e-001,0.00000000000000e+000
1.50707070707071e+002	6.61011098207389e-002,0.00000000000000e+000	6.44799986895296e-001,0.00000000000000e+000
1.70808080808081e+002	7.39641596369161e-002,0.00000000000000e+000	6.44682727274264e-001,0.00000000000000e+000
1.90909090909091e+002	8.15149025781263e-002,0.00000000000000e+000	6.44557692382471e-001,0.00000000000000e+000
2.11010101010101e+002	8.87391935121329e-002,0.00000000000000e+000	6.44426647808006e-001,0.00000000000000e+000
2.31111111111111e+002	9.56278282863184e-002,0.00000000000000e+000	6.44291280791407e-001,0.00000000000000e+000
2.51212121212121e+002	1.02176121163584e-001,0.00000000000000e+000	6.44153165089048e-001,0.00000000000000e+000
2.71313131313131e+002	1.08383404192714e-001,0.00000000000000e+000	6.44013736041509e-001,0.00000000000000e+000
2.91414141414141e+002	1.14252485018282e-001,0.00000000000000e+000	6.43874275187594e-001,0.00000000000000e+000
3.11515151515152e+002	1.19789094351377e-001,0.00000000000000e+000	6.43735903263417e-001,0.00000000000000e+000
3.31616161616162e+002	1.25001347989172e-001,0.00000000000000e+000	6.43599580148706e-001,0.00000000000000e+000
3.51717171717172e+002	1.29899241747695e-001,0.00000000000000e+000	6.43466110234354e-001,0.00000000000000e+000
3.71818181818182e+002	1.34494191581211e-001,0.00000000000000e+000	6.43336151739570e-001,0.00000000000000e+000
3.91919191919192e+002	1.38798625889844e-001,0.00000000000000e+000	6.43210228656144e-001,0.00000000000000e+000
4.12020202020202e+002	1.42825632746051e-001,0.00000000000000e+000	6.43088744198354e-001,0.00000000000000e+000
4.32121212121212e+002	1.46588661527535e-001,0.00000000000000e+000	6.42971994856592e-001,0.00000000000000e+000
4.52222222222222e+002	1.50101276152465e-001,0.00000000000000e+000	6.42860184366554e-001,0.00000000000000e+000
4.72323232323232e+002	1.53376955638049e-001,0.00000000000000e+000	6.42753437098961e-001,0.00000000000000e+000
4.92424242424242e+002	1.56428936887641e-001,0.00000000000000e+000	6.42651810539195e-001,0.00000000000000e+000
5.12525252525253e+002	1.59270094297802e-001,0.00000000000000e+000	6.42555306659736e-001,0.00000000000000e+000
5.32626262626263e+002	1.61912850823322e-001,0.00000000000000e+000	6.42463882091578e-001,0.00000000000000e+000
5.52727272727273e+002	1.64369115426150e-001,0.00000000000000e+000	6.42377457077315e-001,0.00000000000000e+000
5.72828282828283e+002	1.66650242268586e-001,0.00000000000000e+000	6.42295923242320e-001,0.00000000000000e+000
5.92929292929293e+002	1.68767007520366e-001,0.00000000000000e+000	6.42219150255721e-001,0.00000000000000e+000
6.13030303030303e+002	1.70729600182006e-001,0.00000000000000e+000	6.42146991473822e-001,0.00000000000000e+000
6.33131313131313e+002	1.72547623847983e-001,0.00000000000000e+000	6.42079288668975e-001,0.00000000000000e+000
6.53232323232323e+002	1.74230106821020e-001,0.00000000000000e+000	6.42015875949423e-001,0.00000000000000e+000
6.73333333333333e+002	1.75785518430614e-001,0.00000000000000e+000	6.41956582973025e-001,0.00000000000000e+000
6.93434343434343e+002	1.77221789799383e-001,0.00000000000000e+000	6.41901237551765e-001,0.00000000000000e+000
7.13535353535353e+002	1.78546337639123e-001,0.00000000000000e+000	6.41849667735908e-001,0.00000000000000e+000
7.33636363636363e+002	1.79766089946771e-001,0.00000000000000e+000	6.41801703457839e-001,0.00000000000000e+000
7.53737373737373e+002	1.80887512712800e-001,0.00000000000000e+000	6.41757177806355e-001,0.00000000000000e+000
7.73838383838383e+002	1.81916636955674e-001,0.00000000000000e+000	6.41715927993341e-001,0.00000000000000e+000
