Freq.	mag(V(n002))	mag(V(n006))
1.00000000000000e+001	5.74999882766599e-004,0.00000000000000e+000	6.45264811873272e-001,0.00000000000000e+000
3.01010101010101e+001	1.73086918719515e-003,0.00000000000000e+000	6.45264524575874e-001,0.00000000000000e+000
5.02020202020202e+001	2.88692331670810e-003,0.00000000000000e+000	6.45263949130600e-001,0.00000000000000e+000
7.03030303030303e+001	4.04328563740850e-003,0.00000000000000e+000	6.45263085283434e-001,0.00000000000000e+000
9.04040404040404e+001	5.20007942900268e-003,0.00000000000000e+000	6.45261932653213e-001,0.00000000000000e+000
1.10505050505051e+002	6.35742784970726e-003,0.00000000000000e+000	6.45260490731683e-001,0.00000000000000e+000
1.30606060606061e+002	7.51545390065507e-003,0.00000000000000e+000	6.45258758883545e-001,0.00000000000000e+000
1.50707070707071e+002	8.67428038965569e-003,0.00000000000000e+000	6.45256736346524e-001,0.00000000000000e+000
1.70808080808081e+002	9.83402989416544e-003,0.00000000000000e+000	6.45254422231469e-001,0.00000000000000e+000
1.90909090909091e+002	1.09948247233197e-002,0.00000000000000e+000	6.45251815522449e-001,0.00000000000000e+000
2.11010101010101e+002	1.21567868788805e-002,0.00000000000000e+000	6.45248915076891e-001,0.00000000000000e+000
2.31111111111111e+002	1.33200380149494e-002,0.00000000000000e+000	6.45245719625737e-001,0.00000000000000e+000
2.51212121212121e+002	1.44846993962954e-002,0.00000000000000e+000	6.45242227773626e-001,0.00000000000000e+000
2.71313131313131e+002	1.56508918551435e-002,0.00000000000000e+000	6.45238437999108e-001,0.00000000000000e+000
2.91414141414141e+002	1.68187357462715e-002,0.00000000000000e+000	6.45234348654902e-001,0.00000000000000e+000
3.11515151515152e+002	1.79883509002550e-002,0.00000000000000e+000	6.45229957968188e-001,0.00000000000000e+000
3.31616161616162e+002	1.91598565747027e-002,0.00000000000000e+000	6.45225264040930e-001,0.00000000000000e+000
3.51717171717172e+002	2.03333714033205e-002,0.00000000000000e+000	6.45220264850286e-001,0.00000000000000e+000
3.71818181818182e+002	2.15090133426375e-002,0.00000000000000e+000	6.45214958249025e-001,0.00000000000000e+000
3.91919191919192e+002	2.26868996162285e-002,0.00000000000000e+000	6.45209341966046e-001,0.00000000000000e+000
