time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.868037985172123e-003	2.868038e-001	2.868026e-001
3.258662985172123e-003	3.258660e-001	3.258610e-001
3.649287985172123e-003	3.649277e-001	3.649051e-001
4.039912985172122e-003	4.039862e-001	4.038846e-001
4.430537985172123e-003	4.430314e-001	4.425838e-001
4.821162985172123e-003	4.820249e-001	4.801979e-001
5.211787985172123e-003	5.208687e-001	5.146680e-001
5.602412985172124e-003	5.594285e-001	5.431717e-001
5.993037985172124e-003	5.976388e-001	5.643397e-001
6.383662985172125e-003	6.355523e-001	5.792730e-001
6.774287985172125e-003	6.732678e-001	5.900492e-001
7.164912985172125e-003	7.108597e-001	5.982268e-001
7.555537985172126e-003	7.483693e-001	6.046807e-001
8.336787985172126e-003	8.232393e-001	6.144506e-001
9.508662985172127e-003	9.353391e-001	6.247943e-001
1.101535941374355e-002	1.079224e+000	6.329856e-001
1.252205584231498e-002	1.223062e+000	6.401944e-001
1.402875227088641e-002	1.366854e+000	6.464206e-001
1.553544869945784e-002	1.510598e+000	6.516642e-001
1.704214512802926e-002	1.654296e+000	6.559252e-001
1.854884155660069e-002	1.797947e+000	6.592037e-001
2.005553798517212e-002	1.941551e+000	6.614996e-001
2.433945393269453e-002	2.351202e+000	6.678828e-001
2.862336988021695e-002	2.759978e+000	6.735720e-001
3.290728582773937e-002	3.167881e+000	6.785673e-001
3.719120177526179e-002	3.574909e+000	6.828686e-001
4.147511772278420e-002	3.981063e+000	6.864758e-001
4.575903367030662e-002	4.386343e+000	6.893892e-001
5.004294961782903e-002	4.790748e+000	6.916085e-001
5.493409165406270e-002	4.324822e+000	6.894403e-001
5.982523369029637e-002	3.858839e+000	6.860941e-001
6.471637572653004e-002	3.392801e+000	6.815701e-001
6.960751776276371e-002	2.926706e+000	6.758682e-001
7.449865979899738e-002	2.460556e+000	6.689884e-001
7.938980183523105e-002	1.994349e+000	6.609307e-001
8.428094387146470e-002	1.528086e+000	6.516951e-001
8.528540815717900e-002	1.432311e+000	6.493517e-001
8.628987244289331e-002	1.336497e+000	6.461829e-001
8.729433672860761e-002	1.240644e+000	6.421887e-001
8.829880101432190e-002	1.144751e+000	6.373691e-001
8.930326530003621e-002	1.048819e+000	6.317242e-001
