time	V(n001)	V(n002)
0.000000000000000e+000	-9.848467e+000	-6.817799e+000
1.023558997881733e-003	-9.458527e+000	-6.817530e+000
2.047117995763465e-003	-9.068554e+000	-6.816576e+000
3.070676993645197e-003	-8.678549e+000	-6.814938e+000
4.094235991526930e-003	-8.288511e+000	-6.812615e+000
5.117794989408663e-003	-7.898440e+000	-6.809607e+000
6.141353987290395e-003	-7.508337e+000	-6.805914e+000
7.164912985172125e-003	-7.118201e+000	-6.801537e+000
7.555537985172126e-003	-6.969118e+000	-6.795791e+000
7.946162985172126e-003	-6.818527e+000	-6.758376e+000
8.336787985172126e-003	-6.664818e+000	-6.655488e+000
8.727412985172127e-003	-6.508990e+000	-6.508091e+000
9.118037985172127e-003	-6.352756e+000	-6.352175e+000
9.508662985172127e-003	-6.196516e+000	-6.196145e+000
9.899287985172128e-003	-6.040273e+000	-6.040040e+000
1.028991298517213e-002	-5.884027e+000	-5.883885e+000
1.068053798517213e-002	-5.727780e+000	-5.727698e+000
1.107116298517213e-002	-5.571533e+000	-5.571489e+000
1.146178798517213e-002	-5.415284e+000	-5.415267e+000
1.185241298517213e-002	-5.259035e+000	-5.259035e+000
1.224303798517213e-002	-5.102785e+000	-5.102797e+000
1.263366298517213e-002	-4.946536e+000	-4.946555e+000
1.341491298517213e-002	-4.634036e+000	-4.634064e+000
1.414035941374356e-002	-4.343858e+000	-4.343888e+000
1.486580584231499e-002	-4.053679e+000	-4.053712e+000
1.559125227088641e-002	-3.763501e+000	-3.763536e+000
1.631669869945784e-002	-3.473322e+000	-3.473359e+000
1.704214512802927e-002	-3.183144e+000	-3.183182e+000
1.776759155660070e-002	-2.892965e+000	-2.893004e+000
1.849303798517212e-002	-2.602787e+000	-2.602826e+000
1.933009155660069e-002	-2.267965e+000	-2.268006e+000
2.016714512802926e-002	-1.933144e+000	-1.933186e+000
2.100419869945783e-002	-1.598323e+000	-1.598367e+000
2.184125227088640e-002	-1.263501e+000	-1.263549e+000
2.267830584231496e-002	-9.286802e-001	-9.287311e-001
2.351535941374353e-002	-5.938590e-001	-5.939140e-001
2.435241298517210e-002	-2.590378e-001	-2.590976e-001
2.513366298517210e-002	5.346180e-002	5.339393e-002
2.552428798517210e-002	2.097115e-001	2.096370e-001
2.591491298517210e-002	3.659523e-001	3.656948e-001
2.630553798517209e-002	5.216421e-001	5.101805e-001
2.669616298517209e-002	6.753985e-001	6.140647e-001
2.705618323450580e-002	8.147626e-001	6.605482e-001
2.742522364492535e-002	9.562598e-001	6.796665e-001
2.776311587210142e-002	1.085473e+000	6.900017e-001
2.854436587210141e-002	1.383802e+000	7.049208e-001
2.949302658638713e-002	1.745653e+000	7.145019e-001
3.044168730067284e-002	2.107446e+000	7.228620e-001
3.139034801495855e-002	2.469180e+000	7.300011e-001
3.233900872924426e-002	2.830857e+000	7.359193e-001
3.328766944352997e-002	3.192475e+000	7.406165e-001
3.423633015781568e-002	3.554035e+000	7.440927e-001
3.518499087210139e-002	3.915537e+000	7.463480e-001
3.730448857742613e-002	4.725968e+000	7.519344e-001
3.942398628275086e-002	5.534681e+000	7.569634e-001
4.154348398807559e-002	6.341676e+000	7.614351e-001
4.366298169340032e-002	7.146952e+000	7.653493e-001
4.578247939872505e-002	7.950511e+000	7.687062e-001
4.790197710404979e-002	8.752352e+000	7.715057e-001
5.002147480937452e-002	9.552474e+000	7.737478e-001
5.262773824681594e-002	8.559505e+000	7.715037e-001
5.523400168425736e-002	7.566477e+000	7.680277e-001
5.784026512169879e-002	6.573390e+000	7.633197e-001
6.044652855914021e-002	5.580245e+000	7.573797e-001
6.305279199658163e-002	4.587041e+000	7.502078e-001
6.565905543402306e-002	3.593779e+000	7.418039e-001
6.826531887146448e-002	2.600458e+000	7.321680e-001
6.882335458575020e-002	2.387764e+000	7.298906e-001
6.938139030003591e-002	2.175015e+000	7.264369e-001
6.993942601432164e-002	1.962209e+000	7.218068e-001
7.049746172860737e-002	1.749348e+000	7.160003e-001
7.105549744289309e-002	1.536430e+000	7.090174e-001
7.161353315717881e-002	1.323457e+000	7.008581e-001
7.217156887146453e-002	1.110427e+000	6.915224e-001
7.256219387146454e-002	9.610661e-001	6.799381e-001
7.295281887146454e-002	8.112611e-001	6.590346e-001
7.334344387146455e-002	6.600865e-001	6.093664e-001
7.366013227000984e-002	5.354715e-001	5.259594e-001
7.399659398851385e-002	4.013540e-001	4.011856e-001
7.425099363520786e-002	2.996064e-001	2.996825e-001
7.530992160783107e-002	-1.239655e-001	-1.239026e-001
7.614697517925965e-002	-4.587872e-001	-4.587299e-001
7.698402875068823e-002	-7.936089e-001	-7.935563e-001
7.782108232211682e-002	-1.128431e+000	-1.128382e+000
7.865813589354539e-002	-1.463252e+000	-1.463207e+000
7.949518946497398e-002	-1.798074e+000	-1.798031e+000
8.033224303640257e-002	-2.132895e+000	-2.132854e+000
8.116929660783115e-002	-2.467717e+000	-2.467676e+000
8.189474303640258e-002	-2.757895e+000	-2.757857e+000
8.262018946497403e-002	-3.048074e+000	-3.048036e+000
8.334563589354546e-002	-3.338252e+000	-3.338216e+000
8.407108232211691e-002	-3.628431e+000	-3.628395e+000
8.479652875068834e-002	-3.918610e+000	-3.918573e+000
8.552197517925979e-002	-4.208788e+000	-4.208751e+000
8.624742160783122e-002	-4.498967e+000	-4.498929e+000
8.702867160783123e-002	-4.811467e+000	-4.811423e+000
8.741929660783124e-002	-4.967716e+000	-4.967669e+000
8.780992160783124e-002	-5.123966e+000	-5.123911e+000
8.820054660783125e-002	-5.280215e+000	-5.280149e+000
8.859117160783125e-002	-5.436464e+000	-5.436380e+000
8.898179660783126e-002	-5.592713e+000	-5.592602e+000
8.937242160783127e-002	-5.748961e+000	-5.748809e+000
8.976304660783127e-002	-5.905208e+000	-5.904993e+000
9.015367160783128e-002	-6.061453e+000	-6.061142e+000
9.054429660783128e-002	-6.217696e+000	-6.217240e+000
9.093492160783129e-002	-6.373935e+000	-6.373258e+000
9.132554660783129e-002	-6.530168e+000	-6.529155e+000
9.171617160783130e-002	-6.686396e+000	-6.684934e+000
9.176499973283130e-002	-6.705923e+000	-6.704376e+000
9.186265598283129e-002	-6.744699e+000	-6.737439e+000
9.205796848283129e-002	-6.821276e+000	-6.783047e+000
9.210679660783129e-002	-6.840146e+000	-6.788688e+000
9.220445285783128e-002	-6.877512e+000	-6.792132e+000
9.239976535783129e-002	-6.952114e+000	-6.796271e+000
9.279039035783129e-002	-7.101157e+000	-6.801177e+000
9.362744392925988e-002	-7.420227e+000	-6.805218e+000
9.446449750068846e-002	-7.739268e+000	-6.808640e+000
9.530155107211705e-002	-8.058279e+000	-6.811444e+000
9.613860464354562e-002	-8.377261e+000	-6.813630e+000
9.697565821497421e-002	-8.696213e+000	-6.815198e+000
9.781271178640280e-002	-9.015135e+000	-6.816147e+000
9.864976535783138e-002	-9.334028e+000	-6.816478e+000
1.000000000010000e-001	-9.848466e+000	-6.817790e+000
1.010165440743597e-001	-9.461196e+000	-6.817482e+000
1.020330881477194e-001	-9.073896e+000	-6.816526e+000
1.030496322210791e-001	-8.686565e+000	-6.814921e+000
1.040661762944388e-001	-8.299203e+000	-6.812667e+000
1.050827203677985e-001	-7.911809e+000	-6.809765e+000
1.060992644411582e-001	-7.524385e+000	-6.806213e+000
1.071158085145179e-001	-7.136930e+000	-6.802013e+000
1.075064335145179e-001	-6.987884e+000	-6.797021e+000
1.078970585145179e-001	-6.837543e+000	-6.764883e+000
1.082876835145179e-001	-6.684257e+000	-6.670864e+000
1.086783085145179e-001	-6.528629e+000	-6.527680e+000
1.090689335145179e-001	-6.372396e+000	-6.371782e+000
1.094595585145179e-001	-6.216157e+000	-6.215764e+000
1.098501835145179e-001	-6.059914e+000	-6.059667e+000
1.102408085145179e-001	-5.903669e+000	-5.903517e+000
1.106314335145179e-001	-5.747422e+000	-5.747333e+000
1.110220585145179e-001	-5.591174e+000	-5.591126e+000
1.114126835145179e-001	-5.434926e+000	-5.434906e+000
1.118033085145179e-001	-5.278677e+000	-5.278675e+000
1.121939335145179e-001	-5.122427e+000	-5.122437e+000
1.125845585145179e-001	-4.966177e+000	-4.966196e+000
1.133658085145179e-001	-4.653678e+000	-4.653705e+000
1.140354513716608e-001	-4.385821e+000	-4.385851e+000
1.147050942288037e-001	-4.117964e+000	-4.117997e+000
1.153747370859466e-001	-3.850107e+000	-3.850142e+000
1.160443799430894e-001	-3.582250e+000	-3.582286e+000
1.167140228002323e-001	-3.314393e+000	-3.314430e+000
1.173836656573751e-001	-3.046536e+000	-3.046574e+000
1.180533085145180e-001	-2.778678e+000	-2.778717e+000
1.189461656573752e-001	-2.421536e+000	-2.421575e+000
1.198390228002323e-001	-2.064393e+000	-2.064434e+000
1.207318799430895e-001	-1.707250e+000	-1.707294e+000
1.216247370859466e-001	-1.350108e+000	-1.350154e+000
1.225175942288038e-001	-9.929649e-001	-9.930151e-001
1.234104513716609e-001	-6.358222e-001	-6.358767e-001
1.243033085145181e-001	-2.786796e-001	-2.787390e-001
1.250845585145181e-001	3.382004e-002	3.375281e-002
1.254751835145181e-001	1.900697e-001	1.899964e-001
1.258658085145181e-001	3.463151e-001	3.461485e-001
1.262564335145181e-001	5.021501e-001	4.936830e-001
1.266470585145181e-001	6.563389e-001	6.066474e-001
1.269601505055461e-001	7.778740e-001	6.541492e-001
1.272840834102677e-001	9.022300e-001	6.741628e-001
1.276282921539850e-001	1.033938e+000	6.863517e-001
