time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.280000014958205e-005	2.010078e-001	1.762442e-006
2.256562514958205e-005	3.541632e-001	7.318644e-004
3.233125014958205e-005	5.069853e-001	1.950566e-002
4.209687514958205e-005	6.593302e-001	8.624701e-002
5.186250014958206e-005	8.110546e-001	2.006573e-001
6.162812514958205e-005	9.620157e-001	3.359859e-001
9.092500014958204e-005	1.408903e+000	7.607062e-001
1.076660715781535e-004	1.660787e+000	1.006042e+000
1.244071430067249e-004	1.906432e+000	1.245899e+000
1.411482144352964e-004	2.145837e+000	1.480276e+000
1.578892858638678e-004	2.379001e+000	1.709175e+000
1.746303572924392e-004	2.605926e+000	1.932594e+000
1.913714287210107e-004	2.826610e+000	2.150534e+000
2.081125001495821e-004	3.041054e+000	2.362995e+000
2.374093751495821e-004	3.398710e+000	2.717213e+000
2.667062501495822e-004	3.721630e+000	3.037137e+000
2.960031251495822e-004	4.009816e+000	3.322765e+000
3.253000001495822e-004	4.263266e+000	3.574097e+000
3.545968751495822e-004	4.481982e+000	3.791134e+000
3.838937501495823e-004	4.665963e+000	3.973876e+000
4.131906251495822e-004	4.815209e+000	4.122323e+000
4.564383930067251e-004	4.948899e+000	4.255053e+000
4.996861608638681e-004	4.994113e+000	4.299948e+000
5.429339287210109e-004	4.950851e+000	4.257007e+000
5.861816965781539e-004	4.819114e+000	4.126229e+000
6.294294644352968e-004	4.598902e+000	3.907616e+000
6.726772322924396e-004	4.290214e+000	3.601167e+000
7.159250001495825e-004	3.893051e+000	3.206881e+000
7.368513394352968e-004	3.675796e+000	2.991218e+000
7.577776787210111e-004	3.445319e+000	2.762819e+000
7.787040180067254e-004	3.201619e+000	2.521684e+000
7.996303572924397e-004	2.944696e+000	2.267814e+000
8.205566965781540e-004	2.674551e+000	2.001208e+000
8.414830358638684e-004	2.391182e+000	1.721867e+000
8.624093751495826e-004	2.094591e+000	1.429791e+000
8.721750001495826e-004	1.953998e+000	1.291370e+000
8.819406251495826e-004	1.811905e+000	1.152200e+000
8.917062501495826e-004	1.668310e+000	1.012281e+000
9.014718751495826e-004	1.523216e+000	8.716124e-001
9.112375001495826e-004	1.376620e+000	7.301952e-001
9.210031251495826e-004	1.228525e+000	5.880291e-001
9.307687501495827e-004	1.078928e+000	4.451138e-001
9.405343751495827e-004	9.286600e-001	3.053877e-001
9.503000001495827e-004	7.775176e-001	1.724498e-001
9.600656251495827e-004	6.256434e-001	6.667504e-002
9.698312501495827e-004	4.731804e-001	1.260029e-002
9.795968751495827e-004	3.202721e-001	2.143521e-004
9.893625001495827e-004	1.670624e-001	5.997538e-007
1.018659375149583e-003	-2.929330e-001	-3.028527e-010
1.034005357292440e-003	-5.345080e-001	-5.443759e-010
1.049351339435297e-003	-7.734706e-001	-7.832863e-010
1.064697321578154e-003	-1.009821e+000	-1.019584e-009
1.080043303721011e-003	-1.243559e+000	-1.253268e-009
1.095389285863869e-003	-1.474684e+000	-1.484340e-009
1.110735268006726e-003	-1.703197e+000	-1.712798e-009
1.126081250149583e-003	-1.929098e+000	-1.938644e-009
1.151192857292440e-003	-2.291541e+000	-2.301002e-009
1.176304464435297e-003	-2.634747e+000	-2.644128e-009
1.201416071578154e-003	-2.958716e+000	-2.968020e-009
1.226527678721012e-003	-3.263446e+000	-3.272679e-009
1.251639285863869e-003	-3.548939e+000	-3.558104e-009
1.276750893006726e-003	-3.815195e+000	-3.824297e-009
1.301862500149583e-003	-4.062212e+000	-4.071256e-009
1.361851339435297e-003	-4.540364e+000	-4.549296e-009
1.421840178721012e-003	-4.848296e+000	-4.857155e-009
1.481829018006726e-003	-4.986006e+000	-4.994834e-009
1.541817857292440e-003	-4.953496e+000	-4.962331e-009
1.601806696578155e-003	-4.750765e+000	-4.759647e-009
1.661795535863869e-003	-4.377813e+000	-4.386782e-009
1.721784375149583e-003	-3.834640e+000	-3.843737e-009
1.745500893006726e-003	-3.581045e+000	-3.590202e-009
1.769217410863869e-003	-3.311578e+000	-3.320798e-009
1.792933928721012e-003	-3.026239e+000	-3.035527e-009
1.816650446578155e-003	-2.725028e+000	-2.734387e-009
1.840366964435298e-003	-2.407945e+000	-2.417378e-009
1.864083482292441e-003	-2.074990e+000	-2.084502e-009
1.887800000149584e-003	-1.726163e+000	-1.735757e-009
1.901750893006726e-003	-1.517879e+000	-1.527544e-009
1.915701785863869e-003	-1.307700e+000	-1.317422e-009
