time	V(n001)-V(n005)	V(n003)	V(n004)
0.000000000000000e+000	-1.707809e+000	7.869921e-001	5.478054e-001
9.765625000003261e-007	-1.611783e+000	9.013763e-001	4.616221e-001
2.929687500000111e-006	-1.288063e+000	1.130428e+000	2.985356e-001
6.835937499999681e-006	-3.533771e-001	1.591013e+000	1.525046e-001
1.464843749999969e-005	1.372340e+000	2.516674e+000	3.289126e-001
1.586914062499945e-005	1.512890e+000	2.660802e+000	3.728452e-001
1.831054687499983e-005	1.605016e+000	2.945350e+000	4.553434e-001
2.319335937499972e-005	1.826480e+000	3.499050e+000	6.594745e-001
3.295898437499951e-005	2.357181e+000	4.556690e+000	1.161176e+000
4.272460937499931e-005	2.963700e+000	5.543477e+000	1.745321e+000
5.249023437499910e-005	3.618983e+000	6.439915e+000	2.383774e+000
6.225585937499889e-005	4.285071e+000	7.235132e+000	3.036933e+000
7.202148437499868e-005	4.932343e+000	7.918972e+000	3.674188e+000
8.178710937499847e-005	5.537595e+000	8.482394e+000	4.271549e+000
9.155273437499827e-005	6.082303e+000	8.917783e+000	4.810042e+000
1.013183593749981e-004	6.551736e+000	9.219177e+000	5.274655e+000
1.110839843749979e-004	6.934320e+000	9.382449e+000	5.653615e+000
1.208496093749976e-004	7.221175e+000	9.405416e+000	5.937910e+000
1.306152343749974e-004	7.405813e+000	9.287916e+000	6.120965e+000
1.403808593749972e-004	7.483942e+000	9.031844e+000	6.198438e+000
1.501464843749970e-004	7.453315e+000	8.641130e+000	6.168068e+000
1.599121093749968e-004	7.313625e+000	8.121702e+000	6.029563e+000
1.696777343749966e-004	7.066404e+000	7.481401e+000	5.784510e+000
1.794433593749964e-004	6.714931e+000	6.729869e+000	5.436281e+000
1.892089843749962e-004	6.264114e+000	5.878411e+000	4.989951e+000
1.989746093749960e-004	5.720373e+000	4.939824e+000	4.452197e+000
2.087402343749958e-004	5.091455e+000	3.928201e+000	3.831203e+000
2.185058593749956e-004	4.386197e+000	2.858722e+000	3.136584e+000
2.282714843749954e-004	3.614033e+000	1.747413e+000	2.379358e+000
2.380371093749951e-004	2.782890e+000	6.108565e-001	1.572307e+000
2.478027343749949e-004	1.713526e+000	-5.368381e-001	7.627700e-001
2.575683593749947e-004	1.944230e-001	-1.687415e+000	2.977965e-001
2.673339843749945e-004	-1.524558e+000	-2.837087e+000	4.491036e-001
2.685546874999943e-004	-1.653209e+000	-2.979605e+000	4.982760e-001
2.709960937499947e-004	-1.754319e+000	-3.260021e+000	5.910568e-001
2.758789062499946e-004	-1.990479e+000	-3.804672e+000	8.120860e-001
2.856445312499943e-004	-2.541845e+000	-4.841917e+000	1.337854e+000
2.954101562499941e-004	-3.159750e+000	-5.805411e+000	1.935538e+000
3.051757812499939e-004	-3.817099e+000	-6.675347e+000	2.577587e+000
3.149414062499937e-004	-4.477810e+000	-7.441063e+000	3.226485e+000
3.247070312499935e-004	-5.113806e+000	-8.092714e+000	3.853167e+000
3.344726562499933e-004	-5.702857e+000	-8.621653e+000	4.434847e+000
3.442382812499931e-004	-6.227344e+000	-9.020712e+000	4.953546e+000
3.540039062499929e-004	-6.673339e+000	-9.284433e+000	5.395079e+000
3.637695312499927e-004	-7.033433e+000	-9.414070e+000	5.751828e+000
3.721898677452873e-004	-7.264052e+000	-9.410351e+000	5.980414e+000
3.814551589692078e-004	-7.424618e+000	-9.279387e+000	6.139614e+000
3.912207839692075e-004	-7.491893e+000	-9.009708e+000	6.206325e+000
4.009864089692073e-004	-7.451709e+000	-8.607610e+000	6.166477e+000
4.107520339692071e-004	-7.302557e+000	-8.077395e+000	6.018592e+000
4.205176589692069e-004	-7.046114e+000	-7.427066e+000	5.764401e+000
4.302832839692067e-004	-6.685793e+000	-6.666416e+000	5.407423e+000
4.400489089692065e-004	-6.226637e+000	-5.806884e+000	4.952866e+000
4.498145339692063e-004	-5.675180e+000	-4.861386e+000	4.407536e+000
4.595801589692061e-004	-5.039277e+000	-3.844120e+000	3.779742e+000
4.693457839692059e-004	-4.327839e+000	-2.770347e+000	3.079216e+000
4.791114089692057e-004	-3.550197e+000	-1.656151e+000	2.317118e+000
4.888770339692055e-004	-2.714068e+000	-5.181478e-001	1.506440e+000
4.986426589692053e-004	-1.540802e+000	6.310059e-001	7.119935e-001
5.084082839692051e-004	4.871257e-002	1.783985e+000	2.693279e-001
5.181739089692048e-004	1.343285e+000	2.924344e+000	4.156718e-001
5.279395339692046e-004	2.053167e+000	4.021766e+000	8.735672e-001
5.377051589692044e-004	2.626331e+000	5.049881e+000	1.419375e+000
5.474707839692042e-004	3.268253e+000	5.993625e+000	2.041276e+000
5.572364089692040e-004	3.936864e+000	6.841847e+000	2.694970e+000
5.670020339692038e-004	4.599564e+000	7.583905e+000	3.346304e+000
5.767676589692036e-004	5.230731e+000	8.210102e+000	3.968543e+000
5.865332839692034e-004	5.809794e+000	8.712036e+000	4.540551e+000
5.962989089692032e-004	6.320333e+000	9.082854e+000	5.045571e+000
6.060645339692030e-004	6.749349e+000	9.317457e+000	5.470365e+000
6.158301589692028e-004	7.091652e+000	9.419462e+000	5.809525e+000
6.237044975802124e-004	7.294955e+000	9.397951e+000	6.011051e+000
6.320184498023219e-004	7.428642e+000	9.266094e+000	6.143604e+000
6.417840748023217e-004	7.487357e+000	8.985176e+000	6.201827e+000
6.515496998023215e-004	7.441067e+000	8.575541e+000	6.155923e+000
6.613153248023213e-004	7.285807e+000	8.038202e+000	6.001985e+000
6.710809498023211e-004	7.023374e+000	7.381270e+000	5.741866e+000
6.808465748023209e-004	6.657288e+000	6.614635e+000	5.379192e+000
6.906121998023207e-004	6.192690e+000	5.749824e+000	4.919275e+000
7.003778248023205e-004	5.636199e+000	4.799834e+000	4.369016e+000
7.101434498023203e-004	4.995742e+000	3.778929e+000	3.736811e+000
7.199090748023201e-004	4.280279e+000	2.702425e+000	3.032474e+000
7.296746998023199e-004	3.499128e+000	1.586445e+000	2.267257e+000
7.394403248023197e-004	2.659674e+000	4.476234e-001	1.454309e+000
7.492059498023194e-004	1.405881e+000	-7.025203e-001	6.720737e-001
7.589715748023192e-004	-2.379655e-001	-1.857383e+000	2.470529e-001
7.687371998023190e-004	-1.414176e+000	-2.997569e+000	3.965160e-001
7.785028248023188e-004	-2.043559e+000	-4.090885e+000	8.650797e-001
7.882684498023186e-004	-2.637643e+000	-5.113194e+000	1.430445e+000
7.980340748023184e-004	-3.291542e+000	-6.050902e+000	2.064230e+000
8.077996998023182e-004	-3.966904e+000	-6.892721e+000	2.724580e+000
8.175653248023180e-004	-4.632597e+000	-7.627961e+000	3.378834e+000
8.273309498023178e-004	-5.263941e+000	-8.246935e+000	4.001312e+000
8.370965748023176e-004	-5.841222e+000	-8.741281e+000	4.571621e+000
8.468621998023174e-004	-6.348560e+000	-9.104218e+000	5.073511e+000
8.566278248023172e-004	-6.773325e+000	-9.330738e+000	5.494114e+000
8.663934498023170e-004	-7.109700e+000	-9.423281e+000	5.827414e+000
8.746216922290474e-004	-7.317216e+000	-9.393497e+000	6.033121e+000
8.823593891165204e-004	-7.437180e+000	-9.264611e+000	6.152071e+000
8.921250141165201e-004	-7.490692e+000	-8.976830e+000	6.205134e+000
9.018906391165199e-004	-7.440685e+000	-8.562572e+000	6.155545e+000
9.116562641165197e-004	-7.281699e+000	-8.020868e+000	5.997912e+000
9.214218891165195e-004	-7.015604e+000	-7.359888e+000	5.734167e+000
9.311875141165193e-004	-6.645993e+000	-6.589582e+000	5.368005e+000
9.409531391165191e-004	-6.178062e+000	-5.721534e+000	4.904801e+000
9.507187641165189e-004	-5.618487e+000	-4.768785e+000	4.351515e+000
9.604843891165187e-004	-4.975238e+000	-3.745640e+000	3.716595e+000
9.702500141165185e-004	-4.257310e+000	-2.667448e+000	3.009906e+000
9.800156391165183e-004	-3.474016e+000	-1.550355e+000	2.242752e+000
9.897812641165181e-004	-2.632558e+000	-4.110060e-001	1.428372e+000
9.995468891165179e-004	-1.338519e+000	7.396420e-001	6.521936e-001
1.009312514116518e-003	3.324031e-001	1.895345e+000	2.362547e-001
1.019078139116517e-003	1.449883e+000	3.035242e+000	3.874788e-001
1.028843764116517e-003	2.039310e+000	4.126215e+000	8.613225e-001
1.038609389116517e-003	2.643705e+000	5.145242e+000	1.436288e+000
1.048375014116517e-003	3.303379e+000	6.079465e+000	2.075774e+000
1.058140639116517e-003	3.981767e+000	6.917532e+000	2.739159e+000
1.067906264116516e-003	4.648551e+000	7.648743e+000	3.394542e+000
1.077671889116516e-003	5.279588e+000	8.263423e+000	4.016757e+000
1.087437514116516e-003	5.855536e+000	8.753245e+000	4.585773e+000
1.097203139116516e-003	6.360775e+000	9.111477e+000	5.085600e+000
1.106968764116516e-003	6.782866e+000	9.333166e+000	5.503566e+000
1.116734389116515e-003	7.115597e+000	9.420040e+000	5.833258e+000
1.125176819970378e-003	7.324909e+000	9.384309e+000	6.040749e+000
1.132787919142948e-003	7.439300e+000	9.252681e+000	6.154173e+000
1.142553544142948e-003	7.487813e+000	8.958505e+000	6.202280e+000
1.152319169142948e-003	7.433098e+000	8.538531e+000	6.148021e+000
1.162084794142947e-003	7.269427e+000	7.991433e+000	5.985746e+000
1.171850419142947e-003	6.998757e+000	7.325461e+000	5.717472e+000
1.181616044142947e-003	6.624755e+000	6.550638e+000	5.346972e+000
1.191381669142947e-003	6.152691e+000	5.678617e+000	4.879699e+000
1.201147294142947e-003	5.589301e+000	4.722497e+000	4.322679e+000
1.210912919142946e-003	4.942609e+000	3.696634e+000	3.684427e+000
1.220678544142946e-003	4.221645e+000	2.616418e+000	2.974869e+000
1.230444169142946e-003	3.435705e+000	1.498023e+000	2.205379e+000
1.240209794142946e-003	2.591680e+000	3.581061e-001	1.389328e+000
1.249975419142946e-003	1.257723e+000	-7.929285e-001	6.258283e-001
1.259741044142945e-003	-4.398644e-001	-1.949185e+000	2.323913e-001
1.269506669142945e-003	-1.499450e+000	-3.088364e+000	3.920249e-001
1.279272294142945e-003	-2.049006e+000	-4.176437e+000	8.708899e-001
1.289037919142945e-003	-2.663076e+000	-5.191485e+000	1.455103e+000
1.298803544142945e-003	-3.328113e+000	-6.121394e+000	2.099893e+000
1.308569169142944e-003	-4.008946e+000	-6.954764e+000	2.765825e+000
1.318334794142944e-003	-4.676190e+000	-7.680897e+000	3.421760e+000
1.328100419142944e-003	-5.306219e+000	-8.290148e+000	4.043045e+000
1.337866044142944e-003	-5.880051e+000	-8.774240e+000	4.610013e+000
1.347631669142944e-003	-6.382336e+000	-9.126506e+000	5.106943e+000
1.357397294142943e-003	-6.800839e+000	-9.342068e+000	5.521370e+000
1.367162919142943e-003	-7.128807e+000	-9.421766e+000	5.846352e+000
1.375874540554432e-003	-7.338532e+000	-9.376237e+000	6.054255e+000
1.383924019529871e-003	-7.451895e+000	-9.227062e+000	6.166661e+000
1.393689644529871e-003	-7.489010e+000	-8.918640e+000	6.203466e+000
1.403455269529870e-003	-7.421612e+000	-8.483487e+000	6.136632e+000
1.413220894529870e-003	-7.245378e+000	-7.922076e+000	5.961905e+000
1.422986519529870e-003	-6.962472e+000	-7.242868e+000	5.681516e+000
1.432752144529870e-003	-6.576760e+000	-6.456087e+000	5.299445e+000
1.442517769529869e-003	-6.093691e+000	-5.573560e+000	4.821331e+000
1.452283394529869e-003	-5.520165e+000	-4.608545e+000	4.254382e+000
1.462049019529869e-003	-4.864341e+000	-3.575530e+000	3.607281e+000
1.471814644529869e-003	-4.135340e+000	-2.490008e+000	2.890118e+000
1.481580269529869e-003	-3.342405e+000	-1.368228e+000	2.114446e+000
1.491345894529868e-003	-2.491476e+000	-2.268739e-001	1.294007e+000
1.501111519529868e-003	-1.132621e+000	9.239327e-001	5.740475e-001
1.510877144529868e-003	1.038219e+000	2.082282e+000	1.331194e-001
1.512097847654868e-003	1.218184e+000	2.227694e+000	1.328318e-001
1.514539253904868e-003	1.316184e+000	2.516727e+000	2.091887e-001
1.519422066404868e-003	1.539858e+000	3.080868e+000	4.021719e-001
1.529187691404868e-003	2.066848e+000	4.163398e+000	8.871855e-001
1.538953316404868e-003	2.671358e+000	5.179824e+000	1.462983e+000
1.548718941404867e-003	3.330764e+000	6.110974e+000	2.102468e+000
1.558484566404867e-003	4.008184e+000	6.945536e+000	2.765078e+000
1.568250191404867e-003	4.673407e+000	7.672852e+000	3.419022e+000
1.578015816404867e-003	5.302353e+000	8.283300e+000	4.039230e+000
1.587781441404867e-003	5.875747e+000	8.768614e+000	4.605756e+000
1.597547066404866e-003	6.378043e+000	9.122122e+000	5.102693e+000
1.607312691404866e-003	6.796873e+000	9.338942e+000	5.517441e+000
1.617078316404866e-003	7.125526e+000	9.420094e+000	5.843100e+000
1.625736795283148e-003	7.335048e+000	9.376566e+000	6.050801e+000
1.633699730798547e-003	7.448585e+000	9.230960e+000	6.163380e+000
1.643465355798547e-003	7.487874e+000	8.925366e+000	6.202339e+000
1.653230980798547e-003	7.422929e+000	8.493221e+000	6.137938e+000
1.662996605798547e-003	7.249142e+000	7.934642e+000	5.965637e+000
1.672762230798547e-003	6.968631e+000	7.258051e+000	5.687618e+000
1.682527855798546e-003	6.585216e+000	6.473632e+000	5.307818e+000
1.692293480798546e-003	6.104310e+000	5.593178e+000	4.831836e+000
1.702059105798546e-003	5.532778e+000	4.629917e+000	4.266841e+000
1.711824730798546e-003	4.878752e+000	3.598309e+000	3.621483e+000
1.721590355798545e-003	4.151332e+000	2.513829e+000	2.905818e+000
1.731355980798545e-003	3.359772e+000	1.392711e+000	2.131363e+000
1.741121605798545e-003	2.510214e+000	2.516339e-001	1.311786e+000
1.750887230798545e-003	1.154175e+000	-8.992550e-001	5.833862e-001
