t,VRc,Cid
0.000000000000000e+000,0.0,1
1.975094511214046e-007,5.5113e-16,1
3.940308969882462e-007,4.49633e-15,1
7.870737887219292e-007,3.961003e-14,1
1.573159572189295e-006,4.748555e-13,1
3.145331139124027e-006,1.902371e-11,1
6.289674272993492e-006,2.181802e-10,1
8.062218772563387e-006,8.566075e-10,1
9.531996060552507e-006,2.725693e-09,1
1.048748220456883e-005,6.110418e-09,1
1.127008004501452e-005,1.226713e-08,1
1.239240671031123e-005,3.513335e-08,1
1.330752518984740e-005,8.630985e-08,1
1.380884610189637e-005,1.426085e-07,1
1.435948938987060e-005,2.440515e-07,1
1.491766064469217e-005,4.147742e-07,1
1.551240413670598e-005,7.155045e-07,1
1.612949017624762e-005,1.228135e-06,1
1.679952754217024e-005,2.133809e-06,1
1.752241133791438e-005,3.710771e-06,1
1.833042809201313e-005,6.53192e-06,1
1.923542238801524e-005,1.155655e-05,1
2.027569188194774e-005,2.068778e-05,1
2.147703140198080e-005,3.728807e-05,1
2.289025686419892e-005,6.791778e-05,1
2.456118223589911e-005,0.0001245722,1
2.656292130639677e-005,0.0002305177,1
2.897256723256550e-005,0.0004292882,1
3.190125918439887e-005,0.0008053249,1
3.547725429784417e-005,0.001519323,1
3.987702964780616e-005,0.002884245,1
4.531692653995595e-005,0.005504525,1
5.209142138132937e-005,0.01056763,1
6.058207815368761e-005,0.02040706,1
7.132159530094457e-005,0.03968947,1
8.505722775866102e-005,0.07786386,1
1.029303295907124e-004,0.1546685,1
1.268434553405382e-004,0.3133764,1
1.606671728919442e-004,0.6431037,1
1.963874763713309e-004,1.103625,1
2.148803717931670e-004,1.393078,1
2.309912438628177e-004,1.677645,1
2.465925112290316e-004,1.972497,1
2.637333360053123e-004,2.312317,1
2.873515412914336e-004,2.790662,1
3.256053654925307e-004,3.521977,1
3.863429915846069e-004,4.441455,1
4.453220726033509e-004,4.935297,1
4.827811443343855e-004,4.967436,1
5.145617965814592e-004,4.854045,1
5.150616857585056e-004,4.851938,1
5.160614641125985e-004,4.847875,1
5.180610208207841e-004,4.839332,1
5.220601342371555e-004,4.821148,1
