v1	V(n002)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-002	1.000000e-002	-1.386623e-014
2.000000000000000e-002	2.000000e-002	-3.166790e-014
3.000000000000000e-002	3.000000e-002	-5.189526e-014
4.000000000000000e-002	4.000000e-002	-7.694991e-014
5.000000000000000e-002	5.000000e-002	-1.091103e-013
6.000000000000001e-002	6.000000e-002	-1.517304e-013
7.000000000000001e-002	7.000000e-002	-2.097475e-013
8.000000000000000e-002	8.000000e-002	-2.904285e-013
9.000000000000000e-002	9.000000e-002	-4.044713e-013
9.999999999999999e-002	1.000000e-001	-5.676223e-013
1.100000000000000e-001	1.100000e-001	-8.030615e-013
1.200000000000000e-001	1.200000e-001	-1.144908e-012
1.300000000000000e-001	1.300000e-001	-1.643387e-012
1.400000000000000e-001	1.400000e-001	-2.372429e-012
1.500000000000000e-001	1.500000e-001	-3.440860e-012
1.600000000000000e-001	1.600000e-001	-5.008874e-012
1.700000000000000e-001	1.700000e-001	-7.312273e-012
1.800000000000000e-001	1.800000e-001	-1.069816e-011
1.900000000000000e-001	1.900000e-001	-1.567748e-011
2.000000000000000e-001	2.000000e-001	-2.300232e-011
2.100000000000001e-001	2.100000e-001	-3.377979e-011
2.200000000000001e-001	2.200000e-001	-4.963952e-011
2.300000000000001e-001	2.300000e-001	-7.298036e-011
2.400000000000001e-001	2.400000e-001	-1.073334e-010
2.500000000000001e-001	2.500000e-001	-1.578964e-010
2.600000000000001e-001	2.600000e-001	-2.323205e-010
2.700000000000001e-001	2.700000e-001	-3.418682e-010
2.800000000000001e-001	2.799999e-001	-5.031177e-010
2.900000000000001e-001	2.899999e-001	-7.404723e-010
3.000000000000001e-001	2.999999e-001	-1.089853e-009
3.100000000000001e-001	3.099999e-001	-1.604136e-009
3.200000000000001e-001	3.199998e-001	-2.361154e-009
3.300000000000001e-001	3.299997e-001	-3.475473e-009
3.400000000000001e-001	3.399995e-001	-5.115730e-009
3.500000000000001e-001	3.499992e-001	-7.530150e-009
3.600000000000002e-001	3.599989e-001	-1.108409e-008
