time	Vf	VR	Vd
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.655359981465153e-004	2.317504e-001	4.470348e-008	2.317504e-001
2.155359981465153e-004	3.017504e-001	5.066395e-007	3.017499e-001
2.655359981465153e-004	3.717504e-001	7.420778e-006	3.717430e-001
3.155359981465153e-004	4.417504e-001	1.099110e-004	4.416405e-001
3.655359981465154e-004	5.117504e-001	1.414001e-003	5.103364e-001
4.155359981465154e-004	5.817504e-001	9.729266e-003	5.720211e-001
4.655359981465154e-004	6.517504e-001	3.419870e-002	6.175517e-001
5.155359981465154e-004	7.217504e-001	7.681584e-002	6.449345e-001
5.655359981465155e-004	7.917504e-001	1.310000e-001	6.607504e-001
6.155359981465155e-004	8.617504e-001	1.906096e-001	6.711408e-001
6.655359981465155e-004	9.317504e-001	2.529726e-001	6.787778e-001
7.655359981465156e-004	1.071750e+000	3.821243e-001	6.896261e-001
1.000000000000000e-003	1.400000e+000	6.947442e-001	7.052558e-001
1.046428571428571e-003	1.335000e+000	6.319755e-001	7.030245e-001
1.092857142857143e-003	1.270000e+000	5.696673e-001	7.003327e-001
1.139285714285714e-003	1.205000e+000	5.078196e-001	6.971804e-001
1.185714285714286e-003	1.140000e+000	4.464324e-001	6.935676e-001
1.232142857142857e-003	1.075000e+000	3.855057e-001	6.894943e-001
1.278571428571428e-003	1.010000e+000	3.250395e-001	6.849605e-001
1.325000000000000e-003	9.450000e-001	2.650338e-001	6.799662e-001
1.375000000000000e-003	8.750000e-001	2.022475e-001	6.727525e-001
1.425000000000000e-003	8.050000e-001	1.419539e-001	6.630461e-001
1.475000000000000e-003	7.350000e-001	8.641934e-002	6.485807e-001
1.524999999999999e-003	6.650000e-001	4.100013e-002	6.239999e-001
1.574999999999999e-003	5.950000e-001	1.288265e-002	5.821174e-001
1.624999999999999e-003	5.250000e-001	2.169907e-003	5.228301e-001
1.674999999999999e-003	4.550000e-001	1.818836e-004	4.548181e-001
1.724999999999999e-003	3.850000e-001	1.236796e-005	3.849876e-001
1.774999999999999e-003	3.150000e-001	8.046627e-007	3.149992e-001
1.824999999999999e-003	2.450000e-001	5.960464e-008	2.449999e-001
2.000000000000000e-003	0.000000e+000	5.335815e-029	-5.335815e-029
2.175000000000000e-003	2.450000e-001	5.960464e-008	2.449999e-001
2.225000000000000e-003	3.150000e-001	8.046627e-007	3.149992e-001
2.275000000000001e-003	3.850000e-001	1.236796e-005	3.849876e-001
2.325000000000001e-003	4.550000e-001	1.818538e-004	4.548182e-001
2.375000000000001e-003	5.250000e-001	2.169847e-003	5.228301e-001
2.425000000000001e-003	5.950000e-001	1.288420e-002	5.821158e-001
2.475000000000001e-003	6.650000e-001	4.100305e-002	6.239970e-001
2.525000000000001e-003	7.350000e-001	8.643639e-002	6.485636e-001
2.575000000000001e-003	8.050000e-001	1.419938e-001	6.630062e-001
2.625000000000002e-003	8.750000e-001	2.022626e-001	6.727374e-001
2.675000000000002e-003	9.450000e-001	2.649989e-001	6.800011e-001
2.775000000000002e-003	1.085000e+000	3.945395e-001	6.904606e-001
3.000000000000004e-003	1.400000e+000	6.947444e-001	7.052556e-001
3.046428571428575e-003	1.335000e+000	6.319756e-001	7.030244e-001
