time	V(vin)	V(vout)	I(L1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.428571428571429e-010	7.142857e-001	-3.337494e-012	-5.624515e-010
2.857142857142858e-010	1.428571e+000	-1.538051e-012	-2.130388e-009
4.285714285714288e-010	2.142857e+000	5.398329e-012	-4.703809e-009
5.714285714285716e-010	2.857143e+000	1.747165e-011	-8.282714e-009
7.142857142857145e-010	3.571429e+000	3.468190e-011	-1.286710e-008
8.571428571428575e-010	4.285714e+000	5.702909e-011	-1.845698e-008
1.000000000000000e-009	5.000000e+000	8.451322e-011	-2.505234e-008
4.557097868775119e-007	5.000000e+000	6.712770e-005	-2.263424e-005
9.104195737550236e-007	5.000000e+000	2.579019e-004	-4.500560e-005
1.365129360632536e-006	5.000000e+000	5.723227e-004	-6.713911e-005
1.819839147510047e-006	5.000000e+000	1.010390e-003	-8.903479e-005
2.274548934387559e-006	5.000000e+000	1.572104e-003	-1.106926e-004
2.729258721265071e-006	5.000000e+000	2.257465e-003	-1.321126e-004
3.183968508142582e-006	5.000000e+000	3.066472e-003	-1.532948e-004
6.366949158392747e-006	5.000000e+000	1.135695e-002	-2.963968e-004
1.112686305869668e-005	5.000000e+000	3.206355e-002	-4.938061e-004
1.819712318121156e-005	5.000000e+000	7.918285e-002	-7.533074e-004
2.763511618940897e-005	5.000000e+000	1.680055e-001	-1.043491e-003
4.036150936802423e-005	5.000000e+000	3.252514e-001	-1.346971e-003
5.660344812785907e-005	5.000000e+000	5.710479e-001	-1.614127e-003
7.758768413381010e-005	5.000000e+000	9.345691e-001	-1.805377e-003
1.040264931082925e-004	5.000000e+000	1.423319e+000	-1.876884e-003
1.333233681082925e-004	5.000000e+000	1.963992e+000	-1.814333e-003
1.626202431082925e-004	5.000000e+000	2.473182e+000	-1.661738e-003
1.919171181082925e-004	5.000000e+000	2.931165e+000	-1.464761e-003
2.212139931082925e-004	5.000000e+000	3.329628e+000	-1.255415e-003
2.505108681082925e-004	5.000000e+000	3.667749e+000	-1.052823e-003
2.798077431082925e-004	5.000000e+000	3.949042e+000	-8.674691e-004
3.091046181082926e-004	5.000000e+000	4.179269e+000	-7.042115e-004
3.384014931082926e-004	5.000000e+000	4.365096e+000	-5.643678e-004
3.676983681082926e-004	5.000000e+000	4.513267e+000	-4.471454e-004
3.969952431082926e-004	5.000000e+000	4.630123e+000	-3.505973e-004
4.262921181082927e-004	5.000000e+000	4.721360e+000	-2.722450e-004
4.555889931082927e-004	5.000000e+000	4.791924e+000	-2.094701e-004
4.848858681082927e-004	5.000000e+000	4.846008e+000	-1.597468e-004
5.141827431082928e-004	5.000000e+000	4.887100e+000	-1.207690e-004
5.434796181082928e-004	5.000000e+000	4.918048e+000	-9.050885e-005
5.727764931082928e-004	5.000000e+000	4.941155e+000	-6.723111e-005
6.020733681082928e-004	5.000000e+000	4.958251e+000	-4.948265e-005
6.313702431082929e-004	5.000000e+000	4.970783e+000	-3.606754e-005
6.606671181082929e-004	5.000000e+000	4.979877e+000	-2.601585e-005
6.899639931082929e-004	5.000000e+000	4.986406e+000	-1.855093e-005
7.192608681082929e-004	5.000000e+000	4.991036e+000	-1.305791e-005
7.485577431082930e-004	5.000000e+000	4.994275e+000	-9.055050e-006
7.778546181082930e-004	5.000000e+000	4.996505e+000	-6.168498e-006
8.071514931082930e-004	5.000000e+000	4.998011e+000	-4.110800e-006
8.364483681082930e-004	5.000000e+000	4.999003e+000	-2.662872e-006
8.657452431082931e-004	5.000000e+000	4.999637e+000	-1.659189e-006
8.950421181082931e-004	5.000000e+000	5.000024e+000	-9.742365e-007
