time	V(vin)	V(vout)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.428571428571429e-010	7.142857e-001	-3.337456e-012	-5.624555e-010
2.857142857142858e-010	1.428571e+000	-1.538000e-012	-2.130390e-009
4.285714285714288e-010	2.142857e+000	5.398368e-012	-4.703803e-009
5.714285714285716e-010	2.857143e+000	1.747165e-011	-8.282696e-009
7.142857142857145e-010	3.571429e+000	3.468184e-011	-1.286707e-008
8.571428571428575e-010	4.285714e+000	5.702895e-011	-1.845692e-008
1.000000000000000e-009	5.000000e+000	8.451297e-011	-2.505225e-008
2.283328362829088e-007	5.000000e+000	1.668153e-005	-1.134181e-005
4.556656725658176e-007	5.000000e+000	6.456120e-005	-2.256460e-005
6.829985088487263e-007	5.000000e+000	1.436391e-004	-3.369343e-005
9.103313451316352e-007	5.000000e+000	2.539152e-004	-4.472830e-005
1.137664181414544e-006	5.000000e+000	3.953895e-004	-5.566922e-005
1.364997017697453e-006	5.000000e+000	5.680621e-004	-6.651617e-005
1.592329853980361e-006	5.000000e+000	7.719328e-004	-7.726916e-005
3.183671848936636e-006	5.000000e+000	2.927220e-003	-1.503303e-004
5.872445566753953e-006	5.000000e+000	9.191206e-003	-2.657771e-004
9.790284020281329e-006	5.000000e+000	2.364692e-002	-4.175529e-004
1.532260662163815e-005	5.000000e+000	5.345843e-002	-6.023386e-004
2.272560333399028e-005	5.000000e+000	1.076201e-001	-8.034489e-004
3.255517573374386e-005	5.000000e+000	1.991009e-001	-1.004176e-003
4.530122583203759e-005	5.000000e+000	3.410764e-001	-1.178692e-003
6.191734126823978e-005	5.000000e+000	5.498613e-001	-1.305137e-003
8.230498257730692e-005	5.000000e+000	8.227381e-001	-1.361765e-003
1.051068875395798e-004	5.000000e+000	1.131320e+000	-1.348146e-003
1.322306803416185e-004	5.000000e+000	1.486449e+000	-1.278112e-003
1.615275553416185e-004	5.000000e+000	1.845416e+000	-1.175959e-003
1.908244303416185e-004	5.000000e+000	2.173910e+000	-1.066554e-003
2.201213053416185e-004	5.000000e+000	2.470813e+000	-9.603077e-004
2.494181803416185e-004	5.000000e+000	2.737689e+000	-8.615611e-004
2.787150553416186e-004	5.000000e+000	2.976922e+000	-7.716040e-004
3.080119303416186e-004	5.000000e+000	3.191087e+000	-6.904336e-004
3.373088053416186e-004	5.000000e+000	3.382684e+000	-6.175326e-004
3.666056803416186e-004	5.000000e+000	3.554033e+000	-5.522090e-004
3.959025553416187e-004	5.000000e+000	3.707248e+000	-4.937419e-004
4.251994303416187e-004	5.000000e+000	3.844238e+000	-4.414415e-004
4.544963053416187e-004	5.000000e+000	3.966715e+000	-3.946705e-004
4.837931803416188e-004	5.000000e+000	4.076216e+000	-3.528502e-004
5.130900553416188e-004	5.000000e+000	4.174112e+000	-3.154591e-004
5.423869303416188e-004	5.000000e+000	4.261635e+000	-2.820294e-004
5.716838053416188e-004	5.000000e+000	4.339883e+000	-2.521419e-004
6.009806803416189e-004	5.000000e+000	4.409839e+000	-2.254214e-004
6.302775553416189e-004	5.000000e+000	4.472381e+000	-2.015326e-004
6.595744303416189e-004	5.000000e+000	4.528295e+000	-1.801753e-004
6.888713053416189e-004	5.000000e+000	4.578283e+000	-1.610813e-004
7.181681803416190e-004	5.000000e+000	4.622974e+000	-1.440108e-004
7.474650553416190e-004	5.000000e+000	4.662930e+000	-1.287493e-004
7.767619303416190e-004	5.000000e+000	4.698650e+000	-1.151052e-004
8.060588053416190e-004	5.000000e+000	4.730586e+000	-1.029069e-004
8.353556803416191e-004	5.000000e+000	4.759137e+000	-9.200143e-005
8.646525553416191e-004	5.000000e+000	4.784662e+000	-8.225162e-005
8.939494303416191e-004	5.000000e+000	4.807483e+000	-7.353503e-005
9.232463053416191e-004	5.000000e+000	4.827885e+000	-6.574219e-005
9.525431803416192e-004	5.000000e+000	4.846125e+000	-5.877519e-005
9.818400553416192e-004	5.000000e+000	4.862432e+000	-5.254652e-005
1.011136930341619e-003	5.000000e+000	4.877010e+000	-4.697792e-005
1.040433805341619e-003	5.000000e+000	4.890044e+000	-4.199946e-005
1.069730680341619e-003	5.000000e+000	4.901696e+000	-3.754858e-005
1.099027555341619e-003	5.000000e+000	4.912114e+000	-3.356939e-005
1.128324430341619e-003	5.000000e+000	4.921428e+000	-3.001189e-005
1.157621305341619e-003	5.000000e+000	4.929754e+000	-2.683139e-005
1.186918180341619e-003	5.000000e+000	4.937199e+000	-2.398795e-005
1.216215055341619e-003	5.000000e+000	4.943854e+000	-2.144583e-005
1.245511930341619e-003	5.000000e+000	4.949804e+000	-1.917312e-005
1.274808805341620e-003	5.000000e+000	4.955123e+000	-1.714126e-005
1.304105680341620e-003	5.000000e+000	4.959879e+000	-1.532472e-005
1.333402555341620e-003	5.000000e+000	4.964131e+000	-1.370069e-005
1.362699430341620e-003	5.000000e+000	4.967932e+000	-1.224877e-005
1.391996305341620e-003	5.000000e+000	4.971331e+000	-1.095071e-005
1.421293180341620e-003	5.000000e+000	4.974369e+000	-9.790212e-006
1.450590055341620e-003	5.000000e+000	4.977085e+000	-8.752698e-006
1.479886930341620e-003	5.000000e+000	4.979513e+000	-7.825134e-006
1.509183805341620e-003	5.000000e+000	4.981685e+000	-6.995870e-006
1.538480680341620e-003	5.000000e+000	4.983625e+000	-6.254485e-006
1.567777555341620e-003	5.000000e+000	4.985361e+000	-5.591669e-006
1.597074430341620e-003	5.000000e+000	4.986912e+000	-4.999094e-006
1.626371305341620e-003	5.000000e+000	4.988299e+000	-4.469317e-006
1.655668180341620e-003	5.000000e+000	4.989539e+000	-3.995684e-006
1.684965055341620e-003	5.000000e+000	4.990648e+000	-3.572243e-006
1.714261930341620e-003	5.000000e+000	4.991639e+000	-3.193676e-006
1.743558805341620e-003	5.000000e+000	4.992525e+000	-2.855227e-006
1.772855680341620e-003	5.000000e+000	4.993317e+000	-2.552646e-006
1.802152555341620e-003	5.000000e+000	4.994025e+000	-2.282130e-006
1.831449430341620e-003	5.000000e+000	4.994658e+000	-2.040283e-006
1.860746305341620e-003	5.000000e+000	4.995224e+000	-1.824065e-006
1.890043180341620e-003	5.000000e+000	4.995730e+000	-1.630760e-006
1.919340055341620e-003	5.000000e+000	4.996183e+000	-1.457941e-006
1.948636930341620e-003	5.000000e+000	4.996588e+000	-1.303436e-006
1.977933805341620e-003	5.000000e+000	4.996949e+000	-1.165305e-006
2.007230680341620e-003	5.000000e+000	4.997272e+000	-1.041813e-006
2.036527555341620e-003	5.000000e+000	4.997561e+000	-9.314069e-007
2.065824430341620e-003	5.000000e+000	4.997820e+000	-8.327015e-007
2.095121305341619e-003	5.000000e+000	4.998051e+000	-7.444563e-007
2.124418180341619e-003	5.000000e+000	4.998258e+000	-6.655629e-007
2.153715055341619e-003	5.000000e+000	4.998442e+000	-5.950301e-007
2.183011930341619e-003	5.000000e+000	4.998607e+000	-5.319721e-007
2.212308805341619e-003	5.000000e+000	4.998755e+000	-4.755966e-007
2.241605680341618e-003	5.000000e+000	4.998887e+000	-4.251954e-007
2.270902555341618e-003	5.000000e+000	4.999005e+000	-3.801355e-007
2.300199430341618e-003	5.000000e+000	4.999110e+000	-3.398508e-007
2.329496305341618e-003	5.000000e+000	4.999205e+000	-3.038353e-007
2.358793180341618e-003	5.000000e+000	4.999289e+000	-2.716365e-007
2.417386930341617e-003	5.000000e+000	4.999432e+000	-2.171140e-007
2.475980680341617e-003	5.000000e+000	4.999546e+000	-1.735352e-007
2.534574430341617e-003	5.000000e+000	4.999637e+000	-1.387035e-007
2.593168180341616e-003	5.000000e+000	4.999710e+000	-1.108631e-007
2.681058805341616e-003	5.000000e+000	4.999793e+000	-7.922034e-008
2.768949430341615e-003	5.000000e+000	4.999852e+000	-5.660911e-008
2.856840055341614e-003	5.000000e+000	4.999894e+000	-4.045162e-008
2.927989608913043e-003	5.000000e+000	4.999917e+000	-3.175851e-008
2.999139162484471e-003	5.000000e+000	4.999936e+000	-2.432369e-008
3.070288716055899e-003	5.000000e+000	4.999953e+000	-1.814716e-008
3.141438269627327e-003	5.000000e+000	4.999965e+000	-1.322893e-008
3.212587823198755e-003	5.000000e+000	4.999975e+000	-9.568987e-009
3.283737376770183e-003	5.000000e+000	4.999981e+000	-7.167340e-009
3.354886930341611e-003	5.000000e+000	4.999984e+000	-6.023985e-009
3.551594519627326e-003	5.000000e+000	4.999990e+000	-3.815000e-009
3.748302108913041e-003	5.000000e+000	4.999994e+000	-2.056970e-009
3.945009698198755e-003	5.000000e+000	4.999998e+000	-7.498941e-010
4.141717287484470e-003	5.000000e+000	5.000000e+000	1.062265e-010
4.338424876770185e-003	5.000000e+000	5.000001e+000	5.113922e-010
4.535132466055900e-003	5.000000e+000	5.000001e+000	4.656032e-010
4.731840055341614e-003	5.000000e+000	5.000000e+000	-3.114067e-011
5.000001002151003e-003	4.989245e+000	5.000000e+000	-1.071968e-011
5.000001144700859e-003	4.276496e+000	5.000000e+000	9.104903e-010
5.000001287250717e-003	3.563746e+000	5.000000e+000	2.717461e-009
5.000001429800573e-003	2.850997e+000	5.000000e+000	5.410192e-009
5.000001572350430e-003	2.138248e+000	5.000000e+000	8.988683e-009
