time	V(vin)	V(vout)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.428571428571429e-010	7.142857e-001	-3.337555e-012	-5.624446e-010
2.857142857142858e-010	1.428571e+000	-1.538134e-012	-2.130384e-009
4.285714285714288e-010	2.142857e+000	5.398265e-012	-4.703817e-009
5.714285714285716e-010	2.857143e+000	1.747164e-011	-8.282744e-009
7.142857142857145e-010	3.571429e+000	3.468199e-011	-1.286717e-008
8.571428571428575e-010	4.285714e+000	5.702932e-011	-1.845708e-008
1.000000000000000e-009	5.000000e+000	8.451363e-011	-2.505249e-008
9.105600064203234e-007	5.000000e+000	2.604139e-004	-4.548745e-005
1.820120012840647e-006	5.000000e+000	1.034624e-003	-9.087449e-005
2.729680019260970e-006	5.000000e+000	2.322631e-003	-1.361862e-004
3.639240025681294e-006	5.000000e+000	4.124434e-003	-1.814225e-004
4.548800032101617e-006	5.000000e+000	6.440034e-003	-2.265835e-004
5.458360038521940e-006	5.000000e+000	9.269430e-003	-2.716692e-004
6.367920044942261e-006	5.000000e+000	1.261262e-002	-3.166795e-004
1.273485223384393e-005	5.000000e+000	5.011116e-002	-6.282860e-004
2.546871661164726e-005	5.000000e+000	1.965192e-001	-1.226900e-003
5.093644536725393e-005	5.000000e+000	6.960751e-001	-2.317607e-003
8.081876790620677e-005	5.000000e+000	1.575840e+000	-3.353468e-003
1.195012487076433e-004	5.000000e+000	3.064828e+000	-4.205444e-003
1.596678451792632e-004	5.000000e+000	4.798142e+000	-4.426472e-003
2.062733619959558e-004	5.000000e+000	6.716284e+000	-3.839402e-003
2.549552160829573e-004	5.000000e+000	8.322568e+000	-2.499424e-003
2.868602837342827e-004	5.000000e+000	9.008404e+000	-1.310831e-003
3.086510781614771e-004	5.000000e+000	9.218515e+000	-4.019212e-004
3.300101395046567e-004	5.000000e+000	9.213299e+000	4.983931e-004
3.495266006669642e-004	5.000000e+000	9.017612e+000	1.271411e-003
3.836550215789028e-004	5.000000e+000	8.334290e+000	2.435083e-003
4.193432998314793e-004	5.000000e+000	7.287664e+000	3.288262e-003
4.688263276263913e-004	5.000000e+000	5.514826e+000	3.762742e-003
5.147575919959502e-004	5.000000e+000	3.838292e+000	3.491128e-003
5.534901470057624e-004	5.000000e+000	2.621994e+000	2.713834e-003
5.902757566222935e-004	5.000000e+000	1.799948e+000	1.621028e-003
6.204894927847311e-004	5.000000e+000	1.422905e+000	5.742325e-004
6.400967235520200e-004	5.000000e+000	1.370168e+000	-1.330101e-004
6.649745423968413e-004	5.000000e+000	1.527634e+000	-9.984300e-004
6.922104573096783e-004	5.000000e+000	1.940036e+000	-1.829170e-003
7.311956320021268e-004	5.000000e+000	2.863654e+000	-2.718119e-003
7.734633544906202e-004	5.000000e+000	4.121946e+000	-3.186231e-003
8.256447516782686e-004	5.000000e+000	5.749897e+000	-3.023343e-003
8.758212835344076e-004	5.000000e+000	7.102649e+000	-2.218013e-003
9.131626898792415e-004	5.000000e+000	7.814354e+000	-1.274038e-003
9.379920407865622e-004	5.000000e+000	8.072329e+000	-5.310415e-004
9.568244384271275e-004	5.000000e+000	8.116447e+000	5.387060e-005
9.822511366963116e-004	5.000000e+000	7.990909e+000	8.165686e-004
1.008707078104435e-003	5.000000e+000	7.660311e+000	1.516514e-003
1.047827881237514e-003	5.000000e+000	6.880487e+000	2.301050e-003
1.089162885569509e-003	5.000000e+000	5.835309e+000	2.711899e-003
1.144851405064865e-003	5.000000e+000	4.352242e+000	2.573435e-003
1.197116089011415e-003	5.000000e+000	3.169020e+000	1.844050e-003
1.239472167383767e-003	5.000000e+000	2.518052e+000	9.077335e-004
1.263656641055681e-003	5.000000e+000	2.337682e+000	2.813244e-004
1.282178257159217e-003	5.000000e+000	2.325835e+000	-2.129920e-004
1.301946195731810e-003	5.000000e+000	2.432600e+000	-7.155847e-004
1.332808778542542e-003	5.000000e+000	2.788702e+000	-1.404260e-003
1.368872896543963e-003	5.000000e+000	3.423286e+000	-1.998242e-003
1.415038876925045e-003	5.000000e+000	4.442943e+000	-2.347224e-003
1.467659680049154e-003	5.000000e+000	5.627323e+000	-2.173449e-003
