Freq.	mag(V(n002)/V(n006))
1.00000000000000e+001	1.05984275965932e-002,0.00000000000000e+000
1.49949949949950e+001	1.58922208067869e-002,0.00000000000000e+000
1.99899899899900e+001	2.11858748504674e-002,0.00000000000000e+000
2.49849849849850e+001	2.64793433792064e-002,0.00000000000000e+000
2.99799799799800e+001	3.17725800526629e-002,0.00000000000000e+000
3.49749749749750e+001	3.70655385406026e-002,0.00000000000000e+000
3.99699699699700e+001	4.23581725249161e-002,0.00000000000000e+000
4.49649649649650e+001	4.76504357016363e-002,0.00000000000000e+000
4.99599599599600e+001	5.29422817829535e-002,0.00000000000000e+000
5.49549549549550e+001	5.82336644992295e-002,0.00000000000000e+000
5.99499499499500e+001	6.35245376010098e-002,0.00000000000000e+000
6.49449449449450e+001	6.88148548610337e-002,0.00000000000000e+000
6.99399399399399e+001	7.41045700762420e-002,0.00000000000000e+000
7.49349349349349e+001	7.93936370697821e-002,0.00000000000000e+000
7.99299299299299e+001	8.46820096930112e-002,0.00000000000000e+000
8.49249249249249e+001	8.99696418274956e-002,0.00000000000000e+000
8.99199199199199e+001	9.52564873870079e-002,0.00000000000000e+000
9.49149149149149e+001	1.00542500319520e-001,0.00000000000000e+000
9.99099099099099e+001	1.05827634609193e-001,0.00000000000000e+000
1.04904904904905e+002	1.11111844278365e-001,0.00000000000000e+000
1.09899899899900e+002	1.16395083389532e-001,0.00000000000000e+000
1.14894894894895e+002	1.21677306047325e-001,0.00000000000000e+000
1.19889889889890e+002	1.26958466400488e-001,0.00000000000000e+000
1.24884884884885e+002	1.32238518643846e-001,0.00000000000000e+000
1.29879879879880e+002	1.37517417020267e-001,0.00000000000000e+000
1.34874874874875e+002	1.42795115822627e-001,0.00000000000000e+000
1.39869869869870e+002	1.48071569395762e-001,0.00000000000000e+000
1.44864864864865e+002	1.53346732138418e-001,0.00000000000000e+000
1.49859859859860e+002	1.58620558505198e-001,0.00000000000000e+000
1.54854854854855e+002	1.63893003008498e-001,0.00000000000000e+000
1.59849849849850e+002	1.69164020220439e-001,0.00000000000000e+000
1.64844844844845e+002	1.74433564774800e-001,0.00000000000000e+000
