Freq.	mag(V(n002)/V(n006))
1.00000000000000e+001	1.05980430107344e-002,0.00000000000000e+000
4.00200200200200e+001	4.24165760715592e-002,0.00000000000000e+000
7.00400400400400e+001	7.42465814019030e-002,0.00000000000000e+000
1.00060060060060e+002	1.06096653351427e-001,0.00000000000000e+000
1.30080080080080e+002	1.37975367700327e-001,0.00000000000000e+000
1.60100100100100e+002	1.69891273491651e-001,0.00000000000000e+000
1.90120120120120e+002	2.01852884642174e-001,0.00000000000000e+000
2.20140140140140e+002	2.33868671264514e-001,0.00000000000000e+000
2.50160160160160e+002	2.65947050632526e-001,0.00000000000000e+000
2.80180180180180e+002	2.98096377721231e-001,0.00000000000000e+000
3.10200200200200e+002	3.30324935251630e-001,0.00000000000000e+000
3.40220220220220e+002	3.62640923169759e-001,0.00000000000000e+000
3.70240240240240e+002	3.95052447488291e-001,0.00000000000000e+000
4.00260260260260e+002	4.27567508417880e-001,0.00000000000000e+000
4.30280280280280e+002	4.60193987714324e-001,0.00000000000000e+000
4.60300300300300e+002	4.92939635166540e-001,0.00000000000000e+000
4.90320320320320e+002	5.25812054149328e-001,0.00000000000000e+000
5.20340340340340e+002	5.58818686163980e-001,0.00000000000000e+000
5.50360360360360e+002	5.91966794289099e-001,0.00000000000000e+000
5.80380380380380e+002	6.25263445463448e-001,0.00000000000000e+000
6.10400400400400e+002	6.58715491522541e-001,0.00000000000000e+000
6.40420420420421e+002	6.92329548910817e-001,0.00000000000000e+000
6.70440440440441e+002	7.26111976992010e-001,0.00000000000000e+000
7.00460460460461e+002	7.60068854881523e-001,0.00000000000000e+000
7.30480480480481e+002	7.94205956726626e-001,0.00000000000000e+000
7.60500500500501e+002	8.28528725363072e-001,0.00000000000000e+000
7.90520520520521e+002	8.63042244280396e-001,0.00000000000000e+000
8.20540540540541e+002	8.97751207833055e-001,0.00000000000000e+000
8.50560560560561e+002	9.32659889640565e-001,0.00000000000000e+000
8.80580580580581e+002	9.67772109127311e-001,0.00000000000000e+000
9.10600600600601e+002	1.00309119616177e+000,0.00000000000000e+000
9.40620620620621e+002	1.03861995376579e+000,0.00000000000000e+000
9.70640640640641e+002	1.07436061887735e+000,0.00000000000000e+000
1.00066066066066e+003	1.11031482116539e+000,0.00000000000000e+000
1.03068068068068e+003	1.14648353991255e+000,0.00000000000000e+000
1.06070070070070e+003	1.18286705900201e+000,0.00000000000000e+000
1.09072072072072e+003	1.21946492006703e+000,0.00000000000000e+000
1.12074074074074e+003	1.25627587388816e+000,0.00000000000000e+000
1.15076076076076e+003	1.29329783015152e+000,0.00000000000000e+000
1.18078078078078e+003	1.33052780571446e+000,0.00000000000000e+000
1.21080080080080e+003	1.36796187156021e+000,0.00000000000000e+000
1.24082082082082e+003	1.40559509866261e+000,0.00000000000000e+000
1.27084084084084e+003	1.44342150302479e+000,0.00000000000000e+000
1.30086086086086e+003	1.48143399020173e+000,0.00000000000000e+000
1.33088088088088e+003	1.51962429966626e+000,0.00000000000000e+000
1.36090090090090e+003	1.55798294943074e+000,0.00000000000000e+000
1.39092092092092e+003	1.59649918139166e+000,0.00000000000000e+000
1.42094094094094e+003	1.63516090792205e+000,0.00000000000000e+000
1.45096096096096e+003	1.67395466029574e+000,0.00000000000000e+000
1.48098098098098e+003	1.71286553958686e+000,0.00000000000000e+000
1.51100100100100e+003	1.75187717074810e+000,0.00000000000000e+000
1.54102102102102e+003	1.79097166062861e+000,0.00000000000000e+000
1.57104104104104e+003	1.83012956074853e+000,0.00000000000000e+000
1.60106106106106e+003	1.86932983569740e+000,0.00000000000000e+000
1.63108108108108e+003	1.90854983806887e+000,0.00000000000000e+000
1.66110110110110e+003	1.94776529088082e+000,0.00000000000000e+000
