Freq.	mag((V(n007)-V(n002))/V(n006))
1.00000000000000e+001	1.12391395129253e-002,0.00000000000000e+000
1.10090090090090e+002	1.23729009844706e-001,0.00000000000000e+000
2.10180180180180e+002	2.36204988350405e-001,0.00000000000000e+000
3.10270270270270e+002	3.48654453203560e-001,0.00000000000000e+000
4.10360360360360e+002	4.61064797829746e-001,0.00000000000000e+000
5.10450450450450e+002	5.73423438143713e-001,0.00000000000000e+000
6.10540540540541e+002	6.85717819756538e-001,0.00000000000000e+000
7.10630630630631e+002	7.97935425143230e-001,0.00000000000000e+000
8.10720720720721e+002	9.10063780761331e-001,0.00000000000000e+000
9.10810810810811e+002	1.02209046411115e+000,0.00000000000000e+000
1.01090090090090e+003	1.13400311072846e+000,0.00000000000000e+000
1.11099099099099e+003	1.24578942110051e+000,0.00000000000000e+000
1.21108108108108e+003	1.35743716749667e+000,0.00000000000000e+000
1.31117117117117e+003	1.46893420070483e+000,0.00000000000000e+000
1.41126126126126e+003	1.58026845666526e+000,0.00000000000000e+000
1.51135135135135e+003	1.69142796299365e+000,0.00000000000000e+000
1.61144144144144e+003	1.80240084538545e+000,0.00000000000000e+000
1.71153153153153e+003	1.91317533389374e+000,0.00000000000000e+000
1.81162162162162e+003	2.02373976907334e+000,0.00000000000000e+000
1.91171171171171e+003	2.13408260798404e+000,0.00000000000000e+000
2.01180180180180e+003	2.24419243004615e+000,0.00000000000000e+000
2.11189189189189e+003	2.35405794274203e+000,0.00000000000000e+000
2.21198198198198e+003	2.46366798715747e+000,0.00000000000000e+000
2.31207207207207e+003	2.57301154335712e+000,0.00000000000000e+000
2.41216216216216e+003	2.68207773558870e+000,0.00000000000000e+000
2.51225225225225e+003	2.79085583731096e+000,0.00000000000000e+000
2.61234234234234e+003	2.89933527604075e+000,0.00000000000000e+000
2.71243243243243e+003	3.00750563801486e+000,0.00000000000000e+000
2.81252252252252e+003	3.11535667266304e+000,0.00000000000000e+000
2.91261261261261e+003	3.22287829688839e+000,0.00000000000000e+000
3.01270270270270e+003	3.33006059915232e+000,0.00000000000000e+000
3.11279279279279e+003	3.43689384336123e+000,0.00000000000000e+000
3.21288288288288e+003	3.54336847255272e+000,0.00000000000000e+000
3.31297297297297e+003	3.64947511237928e+000,0.00000000000000e+000
3.41306306306306e+003	3.75520457438818e+000,0.00000000000000e+000
3.51315315315315e+003	3.86054785909614e+000,0.00000000000000e+000
3.61324324324324e+003	3.96549615885823e+000,0.00000000000000e+000
3.71333333333333e+003	4.07004086053055e+000,0.00000000000000e+000
3.81342342342343e+003	4.17417354792662e+000,0.00000000000000e+000
3.91351351351352e+003	4.27788600406792e+000,0.00000000000000e+000
4.01360360360361e+003	4.38117021322916e+000,0.00000000000000e+000
4.11369369369370e+003	4.48401836277937e+000,0.00000000000000e+000
4.21378378378379e+003	4.58642284482014e+000,0.00000000000000e+000
4.31387387387387e+003	4.68837625762272e+000,0.00000000000000e+000
4.41396396396396e+003	4.78987140686589e+000,0.00000000000000e+000
4.51405405405405e+003	4.89090130667698e+000,0.00000000000000e+000
4.61414414414414e+003	4.99145918047845e+000,0.00000000000000e+000
4.71423423423423e+003	5.09153846164307e+000,0.00000000000000e+000
4.81432432432432e+003	5.19113279396054e+000,0.00000000000000e+000
4.91441441441441e+003	5.29023603191916e+000,0.00000000000000e+000
5.01450450450450e+003	5.38884224080582e+000,0.00000000000000e+000
5.11459459459459e+003	5.48694569662830e+000,0.00000000000000e+000
5.21468468468468e+003	5.58454088586378e+000,0.00000000000000e+000
5.31477477477477e+003	5.68162250503772e+000,0.00000000000000e+000
5.41486486486486e+003	5.77818546013744e+000,0.00000000000000e+000
5.51495495495495e+003	5.87422486586494e+000,0.00000000000000e+000
5.61504504504504e+003	5.96973604473354e+000,0.00000000000000e+000
5.71513513513513e+003	6.06471452601310e+000,0.00000000000000e+000
5.81522522522522e+003	6.15915604452884e+000,0.00000000000000e+000
5.91531531531531e+003	6.25305653931853e+000,0.00000000000000e+000
6.01540540540540e+003	6.34641215215324e+000,0.00000000000000e+000
6.11549549549549e+003	6.43921922592686e+000,0.00000000000000e+000
6.21558558558558e+003	6.53147430291942e+000,0.00000000000000e+000
6.31567567567567e+003	6.62317412293964e+000,0.00000000000000e+000
6.41576576576576e+003	6.71431562135184e+000,0.00000000000000e+000
6.51585585585585e+003	6.80489592699270e+000,0.00000000000000e+000
6.61594594594594e+003	6.89491235998295e+000,0.00000000000000e+000
6.71603603603603e+003	6.98436242943962e+000,0.00000000000000e+000
6.81612612612612e+003	7.07324383109386e+000,0.00000000000000e+000
6.91621621621621e+003	7.16155444481986e+000,0.00000000000000e+000
7.01630630630630e+003	7.24929233207993e+000,0.00000000000000e+000
7.11639639639639e+003	7.33645573329115e+000,0.00000000000000e+000
7.21648648648648e+003	7.42304306511862e+000,0.00000000000000e+000
7.31657657657657e+003	7.50905291770046e+000,0.00000000000000e+000
7.41666666666666e+003	7.59448405180963e+000,0.00000000000000e+000
7.51675675675674e+003	7.67933539595755e+000,0.00000000000000e+000
7.61684684684683e+003	7.76360604344434e+000,0.00000000000000e+000
7.71693693693692e+003	7.84729524936054e+000,0.00000000000000e+000
7.81702702702701e+003	7.93040242754502e+000,0.00000000000000e+000
7.91711711711710e+003	8.01292714750372e+000,0.00000000000000e+000
8.01720720720719e+003	8.09486913129361e+000,0.00000000000000e+000
8.11729729729728e+003	8.17622825037642e+000,0.00000000000000e+000
8.21738738738737e+003	8.25700452244630e+000,0.00000000000000e+000
8.31747747747746e+003	8.33719810823573e+000,0.00000000000000e+000
8.41756756756755e+003	8.41680930830352e+000,0.00000000000000e+000
8.51765765765764e+003	8.49583855980909e+000,0.00000000000000e+000
8.61774774774774e+003	8.57428643327655e+000,0.00000000000000e+000
8.71783783783783e+003	8.65215362935258e+000,0.00000000000000e+000
8.81792792792792e+003	8.72944097556135e+000,0.00000000000000e+000
8.91801801801801e+003	8.80614942306010e+000,0.00000000000000e+000
9.01810810810810e+003	8.88228004339866e+000,0.00000000000000e+000
9.11819819819819e+003	8.95783402528598e+000,0.00000000000000e+000
9.21828828828828e+003	9.03281267136679e+000,0.00000000000000e+000
9.31837837837837e+003	9.10721739501122e+000,0.00000000000000e+000
9.41846846846846e+003	9.18104971712027e+000,0.00000000000000e+000
9.51855855855855e+003	9.25431126294961e+000,0.00000000000000e+000
9.61864864864864e+003	9.32700375895441e+000,0.00000000000000e+000
9.71873873873873e+003	9.39912902965741e+000,0.00000000000000e+000
9.81882882882882e+003	9.47068899454263e+000,0.00000000000000e+000
9.91891891891891e+003	9.54168566497677e+000,0.00000000000000e+000
1.00190090090090e+004	9.61212114116045e+000,0.00000000000000e+000
1.01190990990991e+004	9.68199760911094e+000,0.00000000000000e+000
1.02191891891892e+004	9.75131733767844e+000,0.00000000000000e+000
1.03192792792793e+004	9.82008267559743e+000,0.00000000000000e+000
1.04193693693694e+004	9.88829604857463e+000,0.00000000000000e+000
1.05194594594595e+004	9.95595995641503e+000,0.00000000000000e+000
1.06195495495495e+004	1.00230769701874e+001,0.00000000000000e+000
1.07196396396396e+004	1.00896497294304e+001,0.00000000000000e+000
1.08197297297297e+004	1.01556809394004e+001,0.00000000000000e+000
1.09198198198198e+004	1.02211733683624e+001,0.00000000000000e+000
1.10199099099099e+004	1.02861298449239e+001,0.00000000000000e+000
1.11200000000000e+004	1.03505532554147e+001,0.00000000000000e+000
1.12200900900901e+004	1.04144465413105e+001,0.00000000000000e+000
1.13201801801802e+004	1.04778126967033e+001,0.00000000000000e+000
1.14202702702703e+004	1.05406547658184e+001,0.00000000000000e+000
1.15203603603604e+004	1.06029758405784e+001,0.00000000000000e+000
1.16204504504505e+004	1.06647790582138e+001,0.00000000000000e+000
1.17205405405405e+004	1.07260675989229e+001,0.00000000000000e+000
1.18206306306306e+004	1.07868446835786e+001,0.00000000000000e+000
1.19207207207207e+004	1.08471135714838e+001,0.00000000000000e+000
1.20208108108108e+004	1.09068775581754e+001,0.00000000000000e+000
1.21209009009009e+004	1.09661399732767e+001,0.00000000000000e+000
1.22209909909910e+004	1.10249041783980e+001,0.00000000000000e+000
1.23210810810811e+004	1.10831735650859e+001,0.00000000000000e+000
1.24211711711712e+004	1.11409515528211e+001,0.00000000000000e+000
1.25212612612613e+004	1.11982415870643e+001,0.00000000000000e+000
1.26213513513514e+004	1.12550471373495e+001,0.00000000000000e+000
1.27214414414415e+004	1.13113716954262e+001,0.00000000000000e+000
1.28215315315315e+004	1.13672187734481e+001,0.00000000000000e+000
1.29216216216216e+004	1.14225919022095e+001,0.00000000000000e+000
1.30217117117117e+004	1.14774946294278e+001,0.00000000000000e+000
1.31218018018018e+004	1.15319305180737e+001,0.00000000000000e+000
1.32218918918919e+004	1.15859031447456e+001,0.00000000000000e+000
1.33219819819820e+004	1.16394160980911e+001,0.00000000000000e+000
1.34220720720721e+004	1.16924729772720e+001,0.00000000000000e+000
1.35221621621622e+004	1.17450773904754e+001,0.00000000000000e+000
1.36222522522523e+004	1.17972329534669e+001,0.00000000000000e+000
1.37223423423424e+004	1.18489432881888e+001,0.00000000000000e+000
1.38224324324324e+004	1.19002120213999e+001,0.00000000000000e+000
1.39225225225225e+004	1.19510427833579e+001,0.00000000000000e+000
1.40226126126126e+004	1.20014392065436e+001,0.00000000000000e+000
1.41227027027027e+004	1.20514049244250e+001,0.00000000000000e+000
1.42227927927928e+004	1.21009435702631e+001,0.00000000000000e+000
1.43228828828829e+004	1.21500587759558e+001,0.00000000000000e+000
1.44229729729730e+004	1.21987541709216e+001,0.00000000000000e+000
1.45230630630631e+004	1.22470333810212e+001,0.00000000000000e+000
1.46231531531532e+004	1.22949000275165e+001,0.00000000000000e+000
1.47232432432433e+004	1.23423577260667e+001,0.00000000000000e+000
1.48233333333334e+004	1.23894100857600e+001,0.00000000000000e+000
1.49234234234234e+004	1.24360607081813e+001,0.00000000000000e+000
1.50235135135135e+004	1.24823131865140e+001,0.00000000000000e+000
