Freq.	V(vout)
1.00000000000000e+001	(1.39111785513381e+001dB,-7.16259386815073e+000°)
2.00000000000000e+001	(1.37131465108041e+001dB,-1.41096705370373e+001°)
3.00000000000000e+001	(1.34017375484028e+001dB,-2.06623404662550e+001°)
4.00000000000000e+001	(1.29998151472320e+001dB,-2.67006792585121e+001°)
5.00000000000000e+001	(1.25317759046837e+001dB,-3.21668821165054e+001°)
6.00000000000000e+001	(1.20199923048263e+001dB,-3.70542713736099e+001°)
7.00000000000000e+001	(1.14829669593938e+001dB,-4.13907971460343e+001°)
8.00000000000000e+001	(1.09348951787575e+001dB,-4.52236036027550e+001°)
9.00000000000000e+001	(1.03860531791986e+001dB,-4.86075497243244e+001°)
1.00000000000000e+002	(9.84351993685431e+000dB,-5.15979285160809e+001°)
1.10000000000000e+002	(9.31193597202929e+000dB,-5.42464770467943e+001°)
1.20000000000000e+002	(8.79416348040988e+000dB,-5.65995801469400e+001°)
1.30000000000000e+002	(8.29180862125367e+000dB,-5.86977779228480e+001°)
1.40000000000000e+002	(7.80561265578263e+000dB,-6.05759698632527e+001°)
1.50000000000000e+002	(7.33573503423473e+000dB,-6.22639423274777e+001°)
1.60000000000000e+002	(6.88195374074701e+000dB,-6.37870076192272e+001°)
1.70000000000000e+002	(6.44380486774687e+000dB,-6.51666436060442e+001°)
1.80000000000000e+002	(6.02067866649515e+000dB,-6.64210816279743e+001°)
1.90000000000000e+002	(5.61188491017342e+000dB,-6.75658228479346e+001°)
2.00000000000000e+002	(5.21669683650739e+000dB,-6.86140800035034e+001°)
2.10000000000000e+002	(4.83438024042109e+000dB,-6.95771495062132e+001°)
2.20000000000000e+002	(4.46421232569931e+000dB,-7.04647220384017e+001°)
2.30000000000000e+002	(4.10549352850224e+000dB,-7.12851405337793e+001°)
2.40000000000000e+002	(3.75755454432040e+000dB,-7.20456139810299e+001°)
2.50000000000000e+002	(3.41976010514765e+000dB,-7.27523945504058e+001°)
2.60000000000000e+002	(3.09151057744486e+000dB,-7.34109244673194e+001°)
2.70000000000000e+002	(2.77224212080578e+000dB,-7.40259580164121e+001°)
2.80000000000000e+002	(2.46142591767634e+000dB,-7.46016631281507e+001°)
2.90000000000000e+002	(2.15856682503195e+000dB,-7.51417062005493e+001°)
3.00000000000000e+002	(1.86320168809363e+000dB,-7.56493231392372e+001°)
3.10000000000000e+002	(1.57489747909589e+000dB,-7.61273790470997e+001°)
3.20000000000000e+002	(1.29324937052526e+000dB,-7.65784185437354e+001°)
3.30000000000000e+002	(1.01787881500854e+000dB,-7.70047083285612e+001°)
3.40000000000000e+002	(7.48431678206295e-001dB,-7.74082733045907e+001°)
3.50000000000000e+002	(4.84576453224622e-001dB,-7.77909273397779e+001°)
3.60000000000000e+002	(2.26002572803832e-001dB,-7.81542995485449e+001°)
3.70000000000000e+002	(-2.75811727984326e-002dB,-7.84998568187906e+001°)
3.80000000000000e+002	(-2.76448109913327e-001dB,-7.88289231820905e+001°)
3.90000000000000e+002	(-5.20855048924406e-001dB,-7.91426965211107e+001°)
4.00000000000000e+002	(-7.61043548806143e-001dB,-7.94422630238046e+001°)
4.10000000000000e+002	(-9.97241083876795e-001dB,-7.97286097249884e+001°)
4.20000000000000e+002	(-1.22966211868889e+000dB,-8.00026354194116e+001°)
4.30000000000000e+002	(-1.45850909732916e+000dB,-8.02651601840566e+001°)
4.40000000000000e+002	(-1.68397335345712e+000dB,-8.05169337091987e+001°)
4.50000000000000e+002	(-1.90623594727773e+000dB,-8.07586426062000e+001°)
4.60000000000000e+002	(-2.12546843539013e+000dB,-8.09909168338657e+001°)
4.70000000000000e+002	(-2.34183357912919e+000dB,-8.12143353634640e+001°)
4.80000000000000e+002	(-2.55548599665522e+000dB,-8.14294311844022e+001°)
4.90000000000000e+002	(-2.76657276367048e+000dB,-8.16366957374199e+001°)
5.00000000000000e+002	(-2.97523396726684e+000dB,-8.18365828494681e+001°)
5.10000000000000e+002	(-3.18160321704520e+000dB,-8.20295122337838e+001°)
5.20000000000000e+002	(-3.38580811730142e+000dB,-8.22158726096746e+001°)
5.30000000000000e+002	(-3.58797070374868e+000dB,-8.23960244889334e+001°)
5.40000000000000e+002	(-3.78820784794404e+000dB,-8.25703026693604e+001°)
5.50000000000000e+002	(-3.98663163230851e+000dB,-8.27390184704006e+001°)
5.60000000000000e+002	(-4.18334969837401e+000dB,-8.29024617412404e+001°)
5.70000000000000e+002	(-4.37846557065738e+000dB,-8.30609026677307e+001°)
5.80000000000000e+002	(-4.57207895834903e+000dB,-8.32145934010914e+001°)
5.90000000000000e+002	(-4.76428603681103e+000dB,-8.33637695284336e+001°)
6.00000000000000e+002	(-4.95517971070511e+000dB,-8.35086514026153e+001°)
6.10000000000000e+002	(-5.14484986041329e+000dB,-8.36494453467845e+001°)
6.20000000000000e+002	(-5.33338357327193e+000dB,-8.37863447470859e+001°)
6.30000000000000e+002	(-5.52086536101169e+000dB,-8.39195310453892e+001°)
6.40000000000000e+002	(-5.70737736468142e+000dB,-8.40491746424899e+001°)
6.50000000000000e+002	(-5.89299954823023e+000dB,-8.41754357210098e+001°)
6.60000000000000e+002	(-6.07780988182999e+000dB,-8.42984649961594e+001°)
6.70000000000000e+002	(-6.26188451593757e+000dB,-8.44184044015972e+001°)
6.80000000000000e+002	(-6.44529794702255e+000dB,-8.45353877168036e+001°)
6.90000000000000e+002	(-6.62812317582057e+000dB,-8.46495411416808e+001°)
7.00000000000000e+002	(-6.81043185891446e+000dB,-8.47609838234586e+001°)
7.10000000000000e+002	(-6.99229445439399e+000dB,-8.48698283404438e+001°)
7.20000000000000e+002	(-7.17378036230036e+000dB,-8.49761811466609e+001°)
7.30000000000000e+002	(-7.35495806052254e+000dB,-8.50801429810088e+001°)
7.40000000000000e+002	(-7.53589523677889e+000dB,-8.51818092441804e+001°)
7.50000000000000e+002	(-7.71665891728937e+000dB,-8.52812703462566e+001°)
7.60000000000000e+002	(-7.89731559271978e+000dB,-8.53786120275938e+001°)
7.70000000000000e+002	(-8.07793134196057e+000dB,-8.54739156553580e+001°)
7.80000000000000e+002	(-8.25857195428852e+000dB,-8.55672584978269e+001°)
7.90000000000000e+002	(-8.43930305044860e+000dB,-8.56587139783748e+001°)
8.00000000000000e+002	(-8.62019020318810e+000dB,-8.57483519108662e+001°)
8.10000000000000e+002	(-8.80129905777247e+000dB,-8.58362387180236e+001°)
8.20000000000000e+002	(-8.98269545301512e+000dB,-8.59224376341819e+001°)
8.30000000000000e+002	(-9.16444554335963e+000dB,-8.60070088937140e+001°)
8.40000000000000e+002	(-9.34661592256392e+000dB,-8.60900099062905e+001°)
8.50000000000000e+002	(-9.52927374955133e+000dB,-8.61714954200309e+001°)
8.60000000000000e+002	(-9.71248687701371e+000dB,-8.62515176735093e+001°)
8.70000000000000e+002	(-9.89632398337715e+000dB,-8.63301265374885e+001°)
8.80000000000000e+002	(-1.00808547087716e+001dB,-8.64073696471826e+001°)
8.90000000000000e+002	(-1.02661497956822e+001dB,-8.64832925257747e+001°)
9.00000000000000e+002	(-1.04522812350039e+001dB,-8.65579386998561e+001°)
9.10000000000000e+002	(-1.06393224182705e+001dB,-8.66313498073947e+001°)
9.20000000000000e+002	(-1.08273482968870e+001dB,-8.67035656987885e+001°)
9.30000000000000e+002	(-1.10164355492630e+001dB,-8.67746245315147e+001°)
9.40000000000000e+002	(-1.12066627568181e+001dB,-8.68445628588414e+001°)
9.50000000000000e+002	(-1.13981105899220e+001dB,-8.69134157130310e+001°)
9.60000000000000e+002	(-1.15908620049276e+001dB,-8.69812166834280e+001°)
9.70000000000000e+002	(-1.17850024535734e+001dB,-8.70479979897953e+001°)
9.80000000000000e+002	(-1.19806201061589e+001dB,-8.71137905512303e+001°)
9.90000000000000e+002	(-1.21778060900463e+001dB,-8.71786240509681e+001°)
1.00000000000000e+003	(-1.23766547452116e+001dB,-8.72425269973549e+001°)
1.01000000000000e+003	(-1.25772638987602e+001dB,-8.73055267812520e+001°)
1.02000000000000e+003	(-1.27797351605439e+001dB,-8.73676497301102e+001°)
1.03000000000000e+003	(-1.29841742422716e+001dB,-8.74289211589388e+001°)
1.04000000000000e+003	(-1.31906913027916e+001dB,-8.74893654183724e+001°)
1.05000000000000e+003	(-1.33994013225637e+001dB,-8.75490059400270e+001°)
1.06000000000000e+003	(-1.36104245107170e+001dB,-8.76078652793211e+001°)
1.07000000000000e+003	(-1.38238867485385e+001dB,-8.76659651559239e+001°)
1.08000000000000e+003	(-1.40399200737460e+001dB,-8.77233264919830e+001°)
1.09000000000000e+003	(-1.42586632104948e+001dB,-8.77799694482704e+001°)
1.10000000000000e+003	(-1.44802621507593e+001dB,-8.78359134583771e+001°)
1.11000000000000e+003	(-1.47048707935323e+001dB,-8.78911772610774e+001°)
1.12000000000000e+003	(-1.49326516492285e+001dB,-8.79457789309748e+001°)
1.13000000000000e+003	(-1.51637766177784e+001dB,-8.79997359075330e+001°)
1.14000000000000e+003	(-1.53984278501937e+001dB,-8.80530650225891e+001°)
1.15000000000000e+003	(-1.56367987049180e+001dB,-8.81057825264399e+001°)
1.16000000000000e+003	(-1.58790948120784e+001dB,-8.81579041125833e+001°)
1.17000000000000e+003	(-1.61255352609090e+001dB,-8.82094449411934e+001°)
1.18000000000000e+003	(-1.63763539281734e+001dB,-8.82604196614020e+001°)
1.19000000000000e+003	(-1.66318009684836e+001dB,-8.83108424324520e+001°)
1.20000000000000e+003	(-1.68921444910948e+001dB,-8.83607269437869e+001°)
1.21000000000000e+003	(-1.71576724522074e+001dB,-8.84100864341316e+001°)
1.22000000000000e+003	(-1.74286947971990e+001dB,-8.84589337096197e+001°)
1.23000000000000e+003	(-1.77055458937852e+001dB,-8.85072811610149e+001°)
1.24000000000000e+003	(-1.79885873051545e+001dB,-8.85551407800707e+001°)
1.25000000000000e+003	(-1.82782109620310e+001dB,-8.86025241750704e+001°)
1.26000000000000e+003	(-1.85748428048856e+001dB,-8.86494425855817e+001°)
1.27000000000000e+003	(-1.88789469827849e+001dB,-8.86959068964581e+001°)
1.28000000000000e+003	(-1.91910307145033e+001dB,-8.87419276511147e+001°)
1.29000000000000e+003	(-1.95116499416560e+001dB,-8.87875150640985e+001°)
1.30000000000000e+003	(-1.98414159342532e+001dB,-8.88326790329696e+001°)
1.31000000000000e+003	(-2.01810030482901e+001dB,-8.88774291495013e+001°)
1.32000000000000e+003	(-2.05311578855458e+001dB,-8.89217747101984e+001°)
1.33000000000000e+003	(-2.08927101715163e+001dB,-8.89657247261223e+001°)
1.34000000000000e+003	(-2.12665857536832e+001dB,-8.90092879319973e+001°)
1.35000000000000e+003	(-2.16538222366185e+001dB,-8.90524727945537e+001°)
1.36000000000000e+003	(-2.20555879234254e+001dB,-8.90952875200382e+001°)
1.37000000000000e+003	(-2.24732049401148e+001dB,-8.91377400607867e+001°)
1.38000000000000e+003	(-2.29081777032211e+001dB,-8.91798381207059e+001°)
1.39000000000000e+003	(-2.33622282847228e+001dB,-8.92215891594403e+001°)
1.40000000000000e+003	(-2.38373407826174e+001dB,-8.92630003948969e+001°)
1.41000000000000e+003	(-2.43358175979191e+001dB,-8.93040788036491e+001°)
1.42000000000000e+003	(-2.48603516710425e+001dB,-8.93448311185050e+001°)
1.43000000000000e+003	(-2.54141204374102e+001dB,-8.93852638221681e+001°)
1.44000000000000e+003	(-2.60009098433941e+001dB,-8.94253831353369e+001°)
1.45000000000000e+003	(-2.66252807580245e+001dB,-8.94651949966523e+001°)
1.46000000000000e+003	(-2.72927964577962e+001dB,-8.95047050303131e+001°)
1.47000000000000e+003	(-2.80103402275548e+001dB,-8.95439184944193e+001°)
1.48000000000000e+003	(-2.87865696311959e+001dB,-8.95828401981211e+001°)
1.49000000000000e+003	(-2.96325847294096e+001dB,-8.96214743662410e+001°)
1.50000000000000e+003	(-3.05629438528092e+001dB,-8.96598244113944e+001°)
1.51000000000000e+003	(-3.15972693110317e+001dB,-8.96978925343994e+001°)
1.52000000000000e+003	(-3.27629088739182e+001dB,-8.97356789851967e+001°)
1.53000000000000e+003	(-3.40996139681145e+001dB,-8.97731805984100e+001°)
1.54000000000000e+003	(-3.56684015056052e+001dB,-8.98103876188318e+001°)
1.55000000000000e+003	(-3.75700877286817e+001dB,-8.98472759361099e+001°)
1.56000000000000e+003	(-3.99897992241034e+001dB,-8.98837845432344e+001°)
1.57000000000000e+003	(-4.33288883768757e+001dB,-8.99197302211554e+001°)
1.58000000000000e+003	(-4.87741055199575e+001dB,-8.99542789840546e+001°)
1.59000000000000e+003	(-6.62493264131607e+001dB,-8.99649496815990e+001°)
1.60000000000000e+003	(-5.15422530907065e+001dB,8.99643055621260e+001°)
